Tid,GodkjenteProsent,PolitParti,Region
2025 2025,2.5,04 Kristelig Folkeparti,3205 Lillestrøm
2021 2021,,05 Senterpartiet,3205 Lillestrøm
2025 2025,3.6,05 Senterpartiet,3205 Lillestrøm
2021 2021,,06 Sosialistisk Venstreparti,3205 Lillestrøm
2025 2025,6.3,06 Sosialistisk Venstreparti,3205 Lillestrøm
2021 2021,,07 Venstre,3205 Lillestrøm
2025 2025,3.4,07 Venstre,3205 Lillestrøm
2021 2021,,08 Miljøpartiet de Grønne,3205 Lillestrøm
2025 2025,3.8,08 Miljøpartiet de Grønne,3205 Lillestrøm
2021 2021,,55 Rødt,3205 Lillestrøm
2025 2025,4.4,55 Rødt,3205 Lillestrøm
2021 2021,,01 Arbeiderpartiet,3207 Nordre Follo
2025 2025,28.8,01 Arbeiderpartiet,3207 Nordre Follo
2021 2021,,02 Fremskrittspartiet,3207 Nordre Follo
2025 2025,20.7,02 Fremskrittspartiet,3207 Nordre Follo
2021 2021,,03 Høyre,3207 Nordre Follo
2025 2025,20.5,03 Høyre,3207 Nordre Follo
2021 2021,,04 Kristelig Folkeparti,3207 Nordre Follo
2025 2025,3.0,04 Kristelig Folkeparti,3207 Nordre Follo
2021 2021,,05 Senterpartiet,3207 Nordre Follo
2025 2025,1.8,05 Senterpartiet,3207 Nordre Follo
2021 2021,,06 Sosialistisk Venstreparti,3207 Nordre Follo
2025 2025,5.9,06 Sosialistisk Venstreparti,3207 Nordre Follo
2021 2021,,07 Venstre,3207 Nordre Follo
2025 2025,5.5,07 Venstre,3207 Nordre Follo
2021 2021,,08 Miljøpartiet de Grønne,3207 Nordre Follo
2025 2025,6.3,08 Miljøpartiet de Grønne,3207 Nordre Follo
2021 2021,,55 Rødt,3207 Nordre Follo
2025 2025,4.0,55 Rødt,3207 Nordre Follo
2021 2021,,01 Arbeiderpartiet,3209 Ullensaker
2025 2025,27.7,01 Arbeiderpartiet,3209 Ullensaker
2021 2021,,02 Fremskrittspartiet,3209 Ullensaker
2025 2025,32.4,02 Fremskrittspartiet,3209 Ullensaker
2021 2021,,03 Høyre,3209 Ullensaker
2025 2025,13.9,03 Høyre,3209 Ullensaker
2021 2021,,04 Kristelig Folkeparti,3209 Ullensaker
2025 2025,1.9,04 Kristelig Folkeparti,3209 Ullensaker
2021 2021,,05 Senterpartiet,3209 Ullensaker
2025 2025,3.9,05 Senterpartiet,3209 Ullensaker
2021 2021,,06 Sosialistisk Venstreparti,3209 Ullensaker
2025 2025,5.1,06 Sosialistisk Venstreparti,3209 Ullensaker
2021 2021,,07 Venstre,3209 Ullensaker
2025 2025,2.7,07 Venstre,3209 Ullensaker
2021 2021,,08 Miljøpartiet de Grønne,3209 Ullensaker
2025 2025,2.7,08 Miljøpartiet de Grønne,3209 Ullensaker
2021 2021,,55 Rødt,3209 Ullensaker
2025 2025,5.2,55 Rødt,3209 Ullensaker
2021 2021,,01 Arbeiderpartiet,3212 Nesodden
2025 2025,27.0,01 Arbeiderpartiet,3212 Nesodden
2021 2021,,02 Fremskrittspartiet,3212 Nesodden
2025 2025,15.5,02 Fremskrittspartiet,3212 Nesodden
2021 2021,,03 Høyre,3212 Nesodden
2025 2025,14.0,03 Høyre,3212 Nesodden
2021 2021,,04 Kristelig Folkeparti,3212 Nesodden
2025 2025,2.5,04 Kristelig Folkeparti,3212 Nesodden
2021 2021,,05 Senterpartiet,3212 Nesodden
2025 2025,1.4,05 Senterpartiet,3212 Nesodden
2021 2021,,06 Sosialistisk Venstreparti,3212 Nesodden
2025 2025,7.5,06 Sosialistisk Venstreparti,3212 Nesodden
2021 2021,,07 Venstre,3212 Nesodden
2025 2025,5.7,07 Venstre,3212 Nesodden
2021 2021,,08 Miljøpartiet de Grønne,3212 Nesodden
2025 2025,14.2,08 Miljøpartiet de Grønne,3212 Nesodden
2021 2021,,55 Rødt,3212 Nesodden
2025 2025,8.4,55 Rødt,3212 Nesodden
2021 2021,,01 Arbeiderpartiet,3214 Frogn
2025 2025,24.0,01 Arbeiderpartiet,3214 Frogn
2021 2021,,02 Fremskrittspartiet,3214 Frogn
2025 2025,24.0,02 Fremskrittspartiet,3214 Frogn
2021 2021,,03 Høyre,3214 Frogn
2025 2025,23.1,03 Høyre,3214 Frogn
2021 2021,,04 Kristelig Folkeparti,3214 Frogn
2025 2025,2.1,04 Kristelig Folkeparti,3214 Frogn
2021 2021,,05 Senterpartiet,3214 Frogn
2025 2025,2.2,05 Senterpartiet,3214 Frogn
2021 2021,,06 Sosialistisk Venstreparti,3214 Frogn
2025 2025,4.3,06 Sosialistisk Venstreparti,3214 Frogn
2021 2021,,07 Venstre,3214 Frogn
2025 2025,5.6,07 Venstre,3214 Frogn
2021 2021,,08 Miljøpartiet de Grønne,3214 Frogn
2025 2025,6.3,08 Miljøpartiet de Grønne,3214 Frogn
2021 2021,,55 Rødt,3214 Frogn
2025 2025,3.6,55 Rødt,3214 Frogn
2021 2021,,01 Arbeiderpartiet,3216 Vestby
2025 2025,28.4,01 Arbeiderpartiet,3216 Vestby
2021 2021,,02 Fremskrittspartiet,3216 Vestby
2025 2025,24.8,02 Fremskrittspartiet,3216 Vestby
2021 2021,,03 Høyre,3216 Vestby
2025 2025,16.6,03 Høyre,3216 Vestby
2021 2021,,04 Kristelig Folkeparti,3216 Vestby
2025 2025,2.5,04 Kristelig Folkeparti,3216 Vestby
2021 2021,,05 Senterpartiet,3216 Vestby
2025 2025,3.3,05 Senterpartiet,3216 Vestby
2021 2021,,06 Sosialistisk Venstreparti,3216 Vestby
2025 2025,4.7,06 Sosialistisk Venstreparti,3216 Vestby
2021 2021,,07 Venstre,3216 Vestby
2025 2025,4.1,07 Venstre,3216 Vestby
2021 2021,,08 Miljøpartiet de Grønne,3216 Vestby
2025 2025,5.7,08 Miljøpartiet de Grønne,3216 Vestby
2021 2021,,55 Rødt,3216 Vestby
2025 2025,5.2,55 Rødt,3216 Vestby
2021 2021,,01 Arbeiderpartiet,3218 Ås
2025 2025,27.7,01 Arbeiderpartiet,3218 Ås
2021 2021,,02 Fremskrittspartiet,3218 Ås
2025 2025,20.1,02 Fremskrittspartiet,3218 Ås
2021 2021,,03 Høyre,3218 Ås
2025 2025,14.2,03 Høyre,3218 Ås
2021 2021,,04 Kristelig Folkeparti,3218 Ås
2025 2025,3.1,04 Kristelig Folkeparti,3218 Ås
2021 2021,,05 Senterpartiet,3218 Ås
2025 2025,4.3,05 Senterpartiet,3218 Ås
2021 2021,,06 Sosialistisk Venstreparti,3218 Ås
