kom2024,navn,periode,t0,t1,fylke,landsdel,sent_klasse,sent_indeks,estimert,reform_2017_20,vekt_stemmer_t0,ap_t0,ap_t1,d_ap,frp_t0,frp_t1,d_frp,h_t0,h_t1,d_h,krf_t0,krf_t1,d_krf,sp_t0,sp_t1,d_sp,sv_t0,sv_t1,d_sv,v_t0,v_t1,d_v,mdg_t0,mdg_t1,d_mdg,rodt_t0,rodt_t1,d_rodt,andre_t0,andre_t1,d_andre,bef_t0,ln_bef_t0,vekst4_pst,vekst10_pst,d_ap_forrige,d_sp_forrige,d_h_forrige,h_resid_forrige,par
1149,Karmøy,1999-2003,1999,2003,Rogaland,Vestlandet,4,758,False,0,14496.0,21.54,18.19,-3.35,20.72,34.56,13.84,13.55,8.91,-4.64,27.73,22.13,-5.6,3.46,3.53,0.07,4.82,6.42,1.6,5.06,3.25,-1.81,0.0,0.0,0.0,0.39,0.18,-0.21,2.72,2.82,0.1,36637.0,10.5088,1.534,4.8184,-5.66,-3.58,1.45,-1.1915609795625486,1995-1999→1999-2003
1151,Utsira,1999-2003,1999,2003,Rogaland,Vestlandet,6,293,False,0,146.0,33.56,43.41,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.44,56.59,-9.85,246.0,5.5053,-8.9431,0.9009,7.04,0.0,0.0,-4.229274660192143,1995-1999→1999-2003
1160,Vindafjord,1999-2003,1999,2003,Rogaland,Vestlandet,5,643,False,0,3891.0,19.35,18.88,-0.47,2.98,6.47,3.49,12.98,16.18,3.2,14.16,11.62,-2.54,16.45,24.71,8.26,0.0,0.0,0.0,1.98,0.0,-1.98,0.0,0.0,0.0,0.0,0.0,0.0,32.1,22.15,-9.95,8163.0,9.0074,-0.4043,0.3704,8.74,-9.66,1.16,-0.7782933162693131,1995-1999→1999-2003
1505,Kristiansund,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,4,749,False,0,10508.0,34.44,30.87,-3.57,5.81,13.15,7.34,37.74,32.47,-5.27,6.08,4.13,-1.95,5.05,3.62,-1.43,4.75,6.83,2.08,3.42,4.94,1.52,0.0,0.0,0.0,1.13,1.18,0.05,1.58,2.81,1.23,22074.0,10.0022,1.3319,0.925,-0.93,2.51,17.84,17.509507339724575,1995-1999→1999-2003
1506,Molde,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,4,740,False,1,12182.0,23.48,19.8,-3.68,0.0,14.54,14.54,22.43,29.98,7.55,21.35,9.82,-11.53,13.38,10.03,-3.35,9.82,11.1,1.28,5.13,4.13,-1.0,0.0,0.0,0.0,1.63,0.0,-1.63,2.78,0.62,-2.16,28872.0,10.2706,0.9906,4.4453,-2.53,-3.94,3.05,2.0894004555411874,1995-1999→1999-2003
1508,Ålesund,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,3,800,False,1,18702.0,16.6,17.09,0.49,14.39,28.89,14.5,18.67,14.15,-4.52,15.02,10.99,-4.03,4.48,3.63,-0.85,6.18,8.25,2.07,4.88,3.13,-1.75,0.0,0.0,0.0,2.15,0.67,-1.48,17.62,13.2,-4.42,45185.0,10.7185,3.2533,8.5631,-3.05,-2.48,1.99,0.03394612390326257,1995-1999→1999-2003
1511,Vanylven,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,6,535,False,0,1748.0,21.68,16.22,-5.46,0.0,17.57,17.57,14.19,8.28,-5.91,19.51,14.58,-4.93,16.82,17.34,0.52,0.0,5.12,5.12,7.04,5.97,-1.07,0.0,0.0,0.0,0.0,0.0,0.0,20.77,14.92,-5.85,3607.0,8.1906,5.9052,-1.1899,-2.15,-5.12,1.56,1.193870690410608,1995-1999→1999-2003
1514,Sande,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,6,560,False,0,1474.0,13.36,9.81,-3.55,0.0,13.98,13.98,26.05,20.45,-5.6,13.16,8.55,-4.61,5.56,15.39,9.83,2.78,11.67,8.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08,20.15,-18.93,3092.0,8.0366,-15.9444,-20.4469,3.45,-0.13,9.96,10.331945984532611,1995-1999→1999-2003
1515,Herøy (Møre og Romsdal),1999-2003,1999,2003,Møre og Romsdal,Vestlandet,5,664,False,0,3706.0,30.6,26.62,-3.98,9.55,12.04,2.49,15.3,16.3,1.0,22.91,12.9,-10.01,3.4,2.4,-1.0,3.56,4.43,0.87,12.87,3.77,-9.1,0.0,0.0,0.0,0.0,0.0,0.0,1.81,21.53,19.72,8359.0,9.0311,-0.0479,1.6053,7.23,-6.05,0.33,-1.122531330732392,1995-1999→1999-2003
1516,Ulstein,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,4,719,False,0,2950.0,19.36,23.2,3.84,10.68,16.99,6.31,28.85,23.1,-5.75,20.03,17.27,-2.76,7.76,6.25,-1.51,4.47,6.49,2.02,8.85,6.7,-2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6537.0,8.7852,2.8147,12.3913,-0.04,-6.47,6.82,5.429064052019561,1995-1999→1999-2003
1517,Hareid,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,4,683,False,0,2321.0,8.66,10.17,1.51,18.61,26.6,7.99,15.25,11.24,-4.01,13.1,8.43,-4.67,6.16,0.0,-6.16,5.39,4.11,-1.28,15.86,29.14,13.28,0.0,0.0,0.0,0.0,0.0,0.0,16.98,10.31,-6.67,4731.0,8.4619,-0.0211,2.4697,-1.97,-2.19,0.15,-1.5670500675680303,1995-1999→1999-2003
1520,Ørsta,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,4,718,False,0,4585.0,18.8,17.5,-1.3,12.78,24.92,12.14,10.43,7.03,-3.4,15.81,9.35,-6.46,23.34,23.47,0.13,11.54,11.35,-0.19,7.31,6.37,-0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10357.0,9.2454,-0.8497,0.1951,1.3,-6.42,-0.15,-2.6560581847813274,1995-1999→1999-2003
1525,Stranda,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,5,628,False,0,2298.0,13.88,11.3,-2.58,20.54,36.21,15.67,19.76,11.3,-8.46,15.27,11.98,-3.29,20.19,13.53,-6.66,0.0,6.66,6.66,10.36,9.02,-1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4699.0,8.4551,0.1277,3.5887,-4.41,-6.23,0.65,0.5173043912832771,1995-1999→1999-2003
1528,Sykkylven,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,4,695,False,0,3159.0,18.01,14.89,-3.12,13.39,27.75,14.36,22.73,12.59,-10.14,22.03,18.05,-3.98,13.04,13.65,0.61,5.76,6.82,1.06,5.03,6.25,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7248.0,8.8885,2.4283,5.8907,-1.49,-5.48,2.93,2.104838849462569,1995-1999→1999-2003
1531,Sula,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,4,737,False,0,3184.0,13.66,13.52,-0.14,16.87,38.46,21.59,14.67,13.74,-0.93,19.35,13.89,-5.46,3.02,3.42,0.4,0.0,0.0,0.0,7.22,3.27,-3.95,0.0,0.0,0.0,0.0,0.0,0.0,25.22,13.71,-11.51,7005.0,8.8544,4.2684,7.7763,-4.61,-2.15,2.63,0.12342766499629709,1995-1999→1999-2003
