kom2024,navn,periode,t0,t1,fylke,landsdel,sent_klasse,sent_indeks,estimert,vekt_stemmer_t0,ap_t0,ap_t1,d_ap,frp_t0,frp_t1,d_frp,h_t0,h_t1,d_h,krf_t0,krf_t1,d_krf,sp_t0,sp_t1,d_sp,sv_t0,sv_t1,d_sv,v_t0,v_t1,d_v,mdg_t0,mdg_t1,d_mdg,rodt_t0,rodt_t1,d_rodt,andre_t0,andre_t1,d_andre,d_sp_frp,kv_sp_t0,kv_d_sp,bef_t0,ln_bef_t0,vekst4_pst,vekst10_pst,nettoinnfl_per1000,fodselsovsk_per1000,andel_67p_t0,andel_19_34_t0,d_andel_67p,andel_hoyutd_t0,inntekt_median_t0,andel_primaer_t0,andel_industri_t0,andel_offentlig_t0,reform_2017_20,d_ap_forrige,d_sp_forrige,d_h_forrige,h_resid_forrige,par
1506,Molde,1997-2001,1997,2001,Møre og Romsdal,Vestlandet,4,740,False,16935.0,30.28,21.2,-9.08,12.77,13.73,0.96,10.1,16.68,6.58,23.8,20.49,-3.31,7.07,4.97,-2.1,5.89,11.42,5.53,7.42,8.07,0.65,0.11,0.0,-0.11,0.92,0.82,-0.1,1.65,2.6,0.95,-1.14,17.32,-3.94,28586.0,10.2607,1.4762,4.881,3.3583,11.4392,14.8954,21.7519,-0.2891,21.209,,,,,1,-1.09,-13.43,-3.3,-1.3670153402481044,1993-1997→1997-2001
1508,Ålesund,1997-2001,1997,2001,Møre og Romsdal,Vestlandet,3,800,False,26021.0,26.19,16.77,-9.42,20.85,22.6,1.75,14.52,23.49,8.97,20.17,17.5,-2.67,4.04,2.23,-1.81,5.09,8.78,3.69,5.64,4.5,-1.14,0.1,0.0,-0.1,0.88,0.43,-0.45,2.52,3.69,1.17,-0.06,6.96,-2.48,44425.0,10.7016,3.8582,8.0235,19.2234,19.8762,14.0754,23.2167,-0.3777,19.008,,,,,1,-5.43,-9.85,-4.63,-1.2938329729064746,1993-1997→1997-2001
1511,Vanylven,1997-2001,1997,2001,Møre og Romsdal,Vestlandet,6,535,False,2171.0,19.99,13.55,-6.44,11.42,16.74,5.32,8.01,10.76,2.75,31.64,23.54,-8.1,18.47,10.6,-7.87,1.84,5.12,3.28,7.55,4.72,-2.83,0.0,0.0,0.0,0.32,0.41,0.09,0.74,14.56,13.82,-2.55,21.94,-5.12,3704.0,8.2172,-4.6436,-10.287,-50.7559,4.0497,17.0896,21.7333,-0.272,9.9354,,,,,0,-0.83,-17.81,-0.98,0.04179521274444631,1993-1997→1997-2001
1514,Sande,1997-2001,1997,2001,Møre og Romsdal,Vestlandet,6,560,False,1918.0,17.67,10.14,-7.53,13.4,18.89,5.49,10.17,14.63,4.46,36.24,30.75,-5.49,12.62,6.81,-5.81,2.03,7.26,5.23,5.89,4.76,-1.13,0.1,0.0,-0.1,0.73,0.33,-0.4,1.15,6.43,5.28,-0.32,5.69,-0.13,3136.0,8.0507,-3.125,-7.9673,-30.9311,0.0,16.4541,21.1416,0.3333,10.1002,,,,,0,-1.45,-19.81,-0.46,0.9839302291781626,1993-1997→1997-2001
1515,Herøy (Møre og Romsdal),1997-2001,1997,2001,Møre og Romsdal,Vestlandet,5,664,False,4826.0,21.11,12.95,-8.16,18.05,20.86,2.81,10.46,19.19,8.73,35.79,30.32,-5.47,6.63,3.08,-3.55,1.82,5.26,3.44,4.75,3.92,-0.83,0.0,0.0,0.0,0.29,0.09,-0.2,1.1,4.33,3.23,-0.74,9.45,-6.05,8330.0,9.0276,0.3481,2.6652,-13.9256,17.527,13.7335,23.0012,0.2634,10.8702,,,,,0,-2.59,-16.31,-2.19,-0.3895894589907525,1993-1997→1997-2001
1516,Ulstein,1997-2001,1997,2001,Møre og Romsdal,Vestlandet,4,719,False,3674.0,23.03,15.23,-7.8,15.0,18.25,3.25,13.85,21.89,8.04,31.11,25.6,-5.51,7.59,3.91,-3.68,3.24,7.1,3.86,4.76,4.47,-0.29,0.0,0.0,0.0,0.35,0.31,-0.04,1.06,3.25,2.19,-0.43,14.23,-6.47,6295.0,8.7475,5.0834,15.0235,7.3074,42.5735,11.0405,25.56,-0.3376,18.3987,,,,,0,-3.16,-14.35,-1.43,0.9265236318160117,1993-1997→1997-2001
1517,Hareid,1997-2001,1997,2001,Møre og Romsdal,Vestlandet,4,683,False,2686.0,19.21,14.25,-4.96,19.92,22.83,2.91,12.84,19.98,7.14,26.58,20.14,-6.44,9.42,4.29,-5.13,3.8,7.3,3.5,5.96,6.32,0.36,0.07,0.0,-0.07,0.74,0.35,-0.39,1.45,4.53,3.08,-2.22,8.35,-2.19,4709.0,8.4572,1.1467,5.7974,-6.7955,18.2629,14.1219,23.0835,-0.0551,13.5922,,,,,0,-3.76,-14.4,-1.12,0.9608459413669128,1993-1997→1997-2001
1520,Ørsta,1997-2001,1997,2001,Møre og Romsdal,Vestlandet,4,718,False,6044.0,23.64,16.1,-7.54,12.95,16.26,3.31,9.03,13.93,4.9,24.92,21.0,-3.92,16.89,11.68,-5.21,4.53,10.55,6.02,5.87,5.87,0.0,0.18,0.0,-0.18,0.63,0.4,-0.23,1.34,4.22,2.88,-1.9,29.76,-6.42,10333.0,9.2431,-0.7162,0.1073,-12.1939,5.9034,15.9295,22.433,-0.1678,15.0464,,,,,0,0.9,-15.91,-0.06,0.845258274217566,1993-1997→1997-2001
1525,Stranda,1997-2001,1997,2001,Møre og Romsdal,Vestlandet,5,628,False,2750.0,22.76,15.04,-7.72,12.95,20.83,7.88,8.69,14.34,5.65,25.6,21.38,-4.22,16.0,11.0,-5.0,2.29,6.14,3.85,10.65,6.57,-4.08,0.04,0.0,-0.04,0.29,0.19,-0.1,0.73,4.51,3.78,2.88,26.42,-6.23,4592.0,8.4321,1.3937,1.3275,-1.9599,16.9861,16.7247,22.5828,0.2211,13.6077,,,,,0,-2.27,-17.36,-3.52,-1.758261436653625,1993-1997→1997-2001
1528,Sykkylven,1997-2001,1997,2001,Møre og Romsdal,Vestlandet,4,695,False,4166.0,22.76,15.47,-7.29,15.29,17.57,2.28,10.68,17.3,6.62,29.26,24.01,-5.25,10.97,7.44,-3.53,3.12,8.08,4.96,6.1,5.07,-1.03,0.1,0.0,-0.1,0.58,0.2,-0.38,1.15,4.87,3.72,-1.25,18.52,-5.48,7096.0,8.8673,4.0445,7.202,13.3878,26.4938,13.9233,23.5062,-0.3245,14.0291,,,,,0,-2.97,-13.66,-2.77,-0.7957239113220524,1993-1997→1997-2001
