kom2024,navn,periode,t0,t1,fylke,landsdel,sent_klasse,sent_indeks,estimert,reform_2017_20,vekt_stemmer_t0,ap_t0,ap_t1,d_ap,frp_t0,frp_t1,d_frp,h_t0,h_t1,d_h,krf_t0,krf_t1,d_krf,sp_t0,sp_t1,d_sp,sv_t0,sv_t1,d_sv,v_t0,v_t1,d_v,mdg_t0,mdg_t1,d_mdg,rodt_t0,rodt_t1,d_rodt,andre_t0,andre_t1,d_andre,bef_t0,ln_bef_t0,vekst4_pst,vekst10_pst
1535,Vestnes,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,5,644,False,False,2785.0,24.96,18.09,-6.87,0.0,8.86,8.86,16.73,12.13,-4.6,15.48,12.62,-2.86,14.08,21.52,7.44,5.35,7.35,2.0,7.68,6.49,-1.19,0.0,0.0,0.0,0.0,0.0,0.0,15.73,12.95,-2.78,6344.0,8.7553,1.0876,
1539,Rauma,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,5,627,False,False,3934.0,33.38,24.47,-8.91,9.91,7.14,-2.77,19.32,14.73,-4.59,14.59,15.48,0.89,11.41,19.98,8.57,5.11,11.31,6.2,6.28,6.89,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7810.0,8.9632,0.1921,
1547,Aukra,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,5,616,False,False,1372.0,32.14,19.56,-12.58,0.0,0.0,0.0,21.14,12.54,-8.6,20.77,18.12,-2.65,11.66,27.44,15.78,0.0,9.96,9.96,14.29,12.39,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3009.0,8.0094,-0.997,
1554,Averøy,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,5,611,False,False,2611.0,33.55,26.01,-7.54,7.2,4.39,-2.81,9.65,9.45,-0.2,13.94,10.79,-3.15,11.03,19.09,8.06,0.0,7.29,7.29,24.63,22.96,-1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5599.0,8.6303,-0.8037,
1557,Gjemnes,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,5,576,False,False,1523.0,31.98,23.71,-8.27,0.0,0.0,0.0,10.7,10.03,-0.67,14.51,16.8,2.29,33.16,37.74,4.58,0.0,7.52,7.52,9.65,4.2,-5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2921.0,7.9797,-1.6433,
1560,Tingvoll,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,5,568,False,False,1833.0,43.7,39.2,-4.5,0.0,0.0,0.0,11.84,9.64,-2.2,13.26,10.18,-3.08,17.57,28.92,11.35,4.91,7.05,2.14,8.73,5.01,-3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3437.0,8.1424,0.1164,
1563,Sunndal,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,5,640,False,False,3844.0,48.39,48.06,-0.33,0.0,0.0,0.0,11.99,13.93,1.94,7.36,6.55,-0.81,13.66,14.92,1.26,9.03,11.13,2.1,8.98,5.41,-3.57,0.0,0.0,0.0,0.6,0.0,-0.6,0.0,0.0,0.0,7459.0,8.9172,0.8312,
1566,Surnadal,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,5,607,False,False,3135.0,46.95,36.84,-10.11,0.0,4.69,4.69,10.46,8.11,-2.35,9.35,8.08,-1.27,27.53,31.56,4.03,0.0,8.05,8.05,5.71,2.67,-3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6497.0,8.7791,-1.6315,
1573,Smøla,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,6,501,False,False,1445.0,24.91,22.42,-2.49,0.0,0.0,0.0,16.54,28.03,11.49,8.1,7.4,-0.7,17.65,15.17,-2.48,0.0,12.78,12.78,8.44,14.2,5.76,0.0,0.0,0.0,0.0,0.0,0.0,24.36,0.0,-24.36,2828.0,7.9473,-4.6322,
1576,Aure,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,6,501,False,False,2080.0,37.12,30.6,-6.52,0.0,0.0,0.0,15.38,20.76,5.38,11.2,10.62,-0.58,22.79,25.58,2.79,1.83,2.66,0.83,11.68,9.79,-1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4062.0,8.3094,-4.0374,
1577,Volda,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,4,705,False,True,4791.0,17.78,13.51,-4.27,0.0,4.09,4.09,22.04,18.48,-3.56,14.17,15.34,1.17,15.63,22.51,6.88,4.53,10.76,6.23,16.16,10.76,-5.4,0.0,0.0,0.0,0.0,0.0,0.0,9.68,4.56,-5.12,9072.0,9.1129,1.8188,
1578,Fjord,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,6,564,False,True,1499.0,20.68,21.6,0.92,0.0,0.0,0.0,20.21,19.06,-1.15,15.41,9.43,-5.98,34.22,42.55,8.33,0.0,0.0,0.0,9.47,7.35,-2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3101.0,8.0395,-1.6124,
1579,Hustadvika,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,5,651,False,True,5678.0,30.1,23.62,-6.48,12.72,6.65,-6.07,14.92,12.09,-2.83,14.34,13.75,-0.59,18.56,25.52,6.96,3.49,7.03,3.54,5.88,4.18,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16,7.16,12012.0,9.3937,-0.4412,
1580,Haram,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,5,625,False,False,4384.0,20.0,9.78,-10.22,0.0,3.15,3.15,18.61,12.18,-6.43,15.99,11.76,-4.23,4.36,5.37,1.01,2.78,7.16,4.38,8.78,7.6,-1.18,0.0,0.0,0.0,0.0,0.0,0.0,29.47,43.0,13.53,8677.0,9.0684,-1.3945,
1804,Bodø,1987-1991,1987,1991,Nordland,Nord-Norge,3,793,False,False,17270.0,38.6,30.0,-8.6,9.02,5.33,-3.69,26.75,25.71,-1.04,6.59,5.93,-0.66,3.74,8.08,4.34,8.35,13.7,5.35,4.27,3.15,-1.12,0.0,0.0,0.0,2.31,8.1,5.79,0.38,0.0,-0.38,36227.0,10.4976,5.3634,
1806,Narvik,1987-1991,1987,1991,Nordland,Nord-Norge,4,686,True,True,11235.86,46.74,42.27,-4.47,0.0,3.79,3.79,22.46,16.23,-6.23,5.43,5.69,0.26,5.79,10.03,4.24,10.31,15.2,4.89,4.52,2.63,-1.89,0.0,0.0,0.0,0.91,0.97,0.06,3.83,3.18,-0.65,22973.0,10.0421,-0.7226,
1811,Bindal,1987-1991,1987,1991,Nordland,Nord-Norge,6,426,False,False,1212.0,39.52,39.68,0.16,0.0,0.0,0.0,7.67,5.68,-1.99,0.0,0.0,0.0,22.52,23.22,0.7,11.8,13.95,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.48,17.46,-1.02,2162.0,7.6788,-3.0065,
1812,Sømna,1987-1991,1987,1991,Nordland,Nord-Norge,6,505,False,False,1113.0,38.63,24.09,-14.54,0.0,0.0,0.0,14.65,8.06,-6.59,5.03,0.0,-5.03,26.33,0.0,-26.33,15.36,11.37,-3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.49,56.49,2154.0,7.6751,-1.9034,
1813,Brønnøy,1987-1991,1987,1991,Nordland,Nord-Norge,5,613,False,False,3121.0,48.03,39.53,-8.5,5.16,2.19,-2.97,18.46,15.75,-2.71,5.29,4.74,-0.55,8.01,21.12,13.11,9.96,12.18,2.22,2.76,1.95,-0.81,0.0,0.0,0.0,2.34,2.55,0.21,0.0,0.0,0.0,6819.0,8.8275,1.5398,
