gammelt_nr,navn,start_yr,end_yr,nr_2024
1513,Rovde,,1963,
1514,Sande,,,1514
1515,Herøy (Møre og Romsdal),,,1515
1516,Ulstein,,,1516
1517,Hareid,,,1517
1518,Dalsfjord,1924,1963,
1519,Volda,,2019,1577
1520,Ørsta,,,1520
1521,Vartdal,,1963,
1522,Hjørundfjord,,1963,
1523,Ørskog,1977,2019,1508
1524,Norddal,,2019,1578
1525,Stranda,,,1525
1526,Stordal,,2019,1578
1527,Ørskog,,1976,
1528,Sykkylven,,,1528
1529,Skodje,,2019,1508
1530,Vatne,,1964,
1531,Sula,,,1531
1532,Giske,,,1532
1533,Vigra,,1963,
1534,Haram,,2019,1580
1535,Vestnes,,,1535
1536,Tresfjord,,1963,
1537,Voll,,1963,
1538,Eid,,1963,
1539,Rauma,,,1539
1540,Hen,,1963,
1541,Veøy,,1963,
1542,Eresfjord og Vistdal,,1963,
1543,Nesset,,2019,1506
1544,Bolsøy,,1963,
1545,Midsund,1965,2019,1506
1546,Sandøy,,2019,1506
1547,Aukra,,,1547
1548,Fræna,,2019,1579
1549,Bud,,1963,
1550,Hustad,1918,1963,
1551,Eide,,2019,1579
1552,Kornstad,,1963,
1553,Kvernes,,1963,
1554,Averøy,,,1554
1555,Grip,,1963,
1556,Frei,,2007,1505
1557,Gjemnes,,,1557
1558,Øre,,1964,
1559,Straumsnes,,1963,
1560,Tingvoll,,,1560
1561,Øksendal,,1959,
1562,Ålvundeid,,1959,
1563,Sunndal,,,1563
1564,Stangvik,,1964,
1565,Åsskard,,1964,
1566,Surnadal,,,1566
1567,Rindal,,2018,5061
1568,Stemshaug,1914,1964,
1569,Aure,,2005,1576
1570,Valsøyfjord,,1964,
1571,Halsa,,2019,1576
1572,Tustna,,2005,1576
1573,Smøla,,,1573
1574,Brattvær,1915,1959,
1575,Hopen,1915,1959,
1576,Aure,,,1576
1577,Volda,,,1577
1578,Fjord,,,1578
1579,Hustadvika,,,1579
1580,Haram,,,1580
1601,Trondheim,,2017,5001
1611,Vinje,1924,1963,4036
1612,Hemne,,2017,5055
1613,Snillfjord,1924,2017,5055
1614,Heim,1911,1963,5055
1615,Sandstad,1914,1963,
1616,Fillan,,1963,
1617,Hitra,,2017,5056
1618,Kvenvær,1913,1963,
1619,Sør-Frøya,,1963,
1620,Frøya,1964,2017,5014
1621,Ørland,,2017,5057
1622,Agdenes,,2017,5059
1623,Lensvik,,1963,
1624,Rissa,,2017,5054
1625,Stadsbygd,,1963,
1626,Stjørna,,1963,
1627,Bjugn,,2017,5057
1628,Nes,,1963,3228
1629,Jøssund,,1963,
1630,Åfjord,,2017,5058
1631,Stoksund,,1963,
1632,Roan,,2017,5020
1633,Osen,,2017,5020
1634,Oppdal,,2017,5021
1635,Rennebu,,2017,5022
1636,Meldal,,2017,5059
1637,Orkland,1921,1962,5059
1638,Orkdal,,2017,5059
1639,Orkanger,1921,1962,
1640,Røros,,2017,5025
1641,Røros Landsogn,1926,1963,
1642,Brekken,1926,1963,
1643,Glåmos,1926,1963,
1644,Holtålen,1972,2017,5026
1645,Haltdalen,,1971,
1646,Singsås,,1963,
1647,Budal,,1963,
1648,Midtre Gauldal,1964,2017,5027
1649,Soknedal,,1963,
1650,Horg,,1963,
1651,Hølonda,,1963,
1652,Flå,,1963,3320
1653,Melhus,,2017,5028
1654,Leinstrand,,1963,
1655,Byneset,,1963,
1656,Buvik,,1963,
1657,Skaun,,2017,5029
1658,Børsa,,1964,
1659,Geitastrand,,1962,
1660,Strinda,,1963,
1661,Tiller,,1963,
1662,Klæbu,,2017,5001
1663,Malvik,,2017,5031
1664,Selbu,,2017,5032
1665,Tydal,,2017,5033
1701,Levanger,,1961,5037
1702,Steinkjer,,2017,5006
1703,Namsos,,2017,5007
1711,Meråker,,2017,5034
1712,Hegra,,1961,
1713,Lånke,,1961,
1714,Stjørdal,,2017,5035
1715,Skatval,,1961,
1716,Åsen,,1961,
1717,Frosta,,2017,5036
1718,Leksvik,,2017,5053
1719,Levanger,1962,2017,5037
1720,Frol,,1961,
1721,Verdal,,2017,5038
1722,Ytterøy,,1963,
1723,Mosvik,,2011,5053
1724,Verran,,2017,5006
1725,Namdalseid,,2017,5006
1726,Malm,1913,1963,
1727,Beitstad,,1963,
1728,Sandvollan,1907,1961,
1729,Inderøy,,2011,5053
1730,Røra,1907,1961,
1731,Sparbu,,1963,
1732,Ogndal,,1963,
1733,Egge,,1963,
1734,Stod,,1963,
1735,Kvam,1909,1963,4622
1736,Snåase - Snåsa,,2017,5041
1737,Sørli,1915,1963,
1738,Lierne,1964,2017,5042
1739,Raarvihke - Røyrvik,1923,2017,5043
1740,Namsskogan,1923,2017,5044
1741,Harran,1923,1963,
1742,Grong,,2017,5045
1743,Høylandet,,2017,5046
1744,Overhalla,,2017,5047
1745,Vemundvik,,1963,
1746,Klinga,,1963,
1747,Otterøy,1913,1963,
1748,Fosnes,,2017,5007
1749,Flatanger,,2017,5049
1750,Vikna,,2017,5060
1751,Nærøy,,2017,5060
1752,Kolvereid,,1963,
1753,Foldereid,,1963,
1754,Gravvik,1909,1963,
1755,Leka,,2017,5052
1756,Inderøy,2012,2017,5053
1801,Brønnøysund,1923,1963,
1802,Mosjøen,,1961,
1803,Mo,1923,1963,
1804,Bodø,,,1804
1805,Narvik,,2019,1806
1806,Narvik,,,1806
1811,Bindal,,,1811
1812,Sømna,,,1812
1813,Brønnøy,,,1813
1814,Brønnøy,,1976,1813
1815,Vega,,,1815
1816,Vevelstad,,,1816
1817,Tjøtta,,1964,
1818,Herøy (Nordland),,,1818
1819,Nordvik,1917,1961,
1820,Alstahaug,,,1820
1821,Sandnessjøen,,1964,
1822,Leirfjord,,,1822
1823,Drevja,1927,1961,
1824,Vefsn,,,1824
1825,Grane,,,1825
1826,Aarborte - Hattfjelldal,,,1826
1827,Dønna,,,1827
1828,Nesna,,,1828
1829,Elsfjord,1929,1961,
1830,Korgen,1919,1963,
1831,Sør-Rana,1929,1963,
1832,Hemnes,,,1832
1833,Rana - Raane,,,1833
1834,Lurøy,,,1834
1835,Træna,,,1835
1836,Rødøy,,,1836
1837,Meløy,,,1837
1838,Gildeskål,,,1838
1839,Beiarn,,,1839
1840,Saltdal,,,1840
1841,Fauske - Fuossko,,,1841
1842,Skjerstad,,2004,1841
1843,Bodin,,1967,
1844,Kjerringøy,,1963,
1845,Sørfold - Fuolldá,,,1845
1846,Nordfold,,1963,
1847,Leiranger,,1963,
1848,Steigen,,,1848
1849,Hamarøy - Hábmer,,2019,1875
1850,Divtasvuodna - Tysfjord,,2019,1875
1851,Lødingen,,,1851
1852,Tjeldsund,1909,2019,5512
1853,Evenes - Evenássi,,,1853
1854,Ballangen,1925,2019,1806
1855,Ankenes,,1973,
1856,Røst,,,1856
1857,Værøy,,,1857
1858,Moskenes,1916,1975,1874
1859,Flakstad,,,1859
1860,Vestvågøy,,,1860
1861,Hol,1919,1962,3330
1862,Borge,,1962,
1863,Valberg,1927,1962,
1864,Gimsøy,,1963,
1865,Vågan,,,1865
1866,Hadsel,,,1866
1867,Bø,,,1867
1868,Øksnes,,,1868
1869,Langenes,1919,1963,
1870,Sortland - Suortá,,,1870
1871,Andøy,,,1871
1872,Dverberg,,1963,
1873,Andenes,1924,1963,
1874,Moskenes,,,1874
1875,Hábmer - Hamarøy,,,1875
1901,Harstad,,2012,5503
1902,Tromsø,,2019,5501
1903,Harstad - Hárstták,2013,2019,5503
1911,Kvæfjord,,2019,5510
1912,Sandtorg,1926,1963,
1913,Skånland,1926,2019,5512
1914,Trondenes,,1963,
1915,Bjarkøy,,2012,5503
1916,Andørja,1926,1963,
1917,Ibestad,,2019,5514
1918,Astafjord,1926,1963,
1919,Gratangen,1926,2019,5516
1920,Loabák - Lavangen,1907,2019,5518
1921,Salangen,,1976,5522
1922,Bardu,,2019,5520
1923,Salangen,1977,2019,5522
1924,Målselv,,2019,5524
1925,Sørreisa,,2019,5526
1926,Dyrøy,,2019,5528
1927,Tranøy,,2019,5530
1928,Torsken,,2019,5530
1929,Berg,,2019,5530
1930,Hillesøy,,1963,
1931,Lenvik,,2019,5530
1932,Malangen,,1963,
1933,Balsfjord,,2019,5532
1934,Tromsøysund,,1963,
1935,Helgøy,,1963,
1936,Karlsøy,,2019,5534
1937,Ullsfjord,,1963,
1938,Lyngen,,2019,5536
1939,Storfjord - Omasvuotna - Omasvuono,1931,2019,5538
1940,Gáivuotna - Kåfjord - Kaivuono,1931,2019,5540
1941,Skjervøy,,2019,5542
1942,Nordreisa - Ráisa - Raisi,,2019,5544
1943,Kvænangen,,2019,5546
2001,Hammerfest,,1991,5603
2002,Vardø,,2019,5634
2003,Vadsø,,2019,5607
2004,Hammerfest,1992,2019,5603
2011,Guovdageaidnu - Kautokeino,,2019,5612
2012,Alta,,2019,5601
2013,Talvik,,1963,
2014,Loppa,,2019,5614
2015,Hasvik,,2019,5616
2016,Sørøysund,,1991,5603
2017,Kvalsund,,2019,5603
2018,Måsøy,,2019,5618
2019,Nordkapp,,2019,5620
2020,Porsanger - Porsángu - Porsanki,1964,2019,5622
2021,Kárásjohka - Karasjok,,2019,5610
2022,Lebesby,,2019,5624
2023,Gamvik,1914,2019,5626
2024,Berlevåg,1914,2019,5630
2025,Deatnu - Tana,,2019,5628
2026,Polmak,,1963,
2027,Unjárga - Nesseby,,2019,5636
2028,Båtsfjord,1955,2019,5632
2029,Nord-Varanger,,1963,
2030,Sør-Varanger,,2019,5605
3001,Halden,2020,2023,3101
3002,Moss,2020,2023,3103
3003,Sarpsborg,2020,2023,3105
3004,Fredrikstad,2020,2023,3107
3005,Drammen,2020,2023,3301
3006,Kongsberg,2020,2023,3303
3007,Ringerike,2020,2023,3305
3011,Hvaler,2020,2023,3110
3012,Aremark,2020,2023,3124
3013,Marker,2020,2023,3122
3014,Indre Østfold,2020,2023,3118
3015,Skiptvet,2020,2023,3116
3016,Rakkestad,2020,2023,3120
3017,Råde,2020,2023,3112
3018,Våler (Viken),,2023,3114
3019,Vestby,2020,2023,3216
3020,Nordre Follo,2020,2023,3207
3021,Ås,2020,2023,3218
3022,Frogn,2020,2023,3214
3023,Nesodden,2020,2023,3212
3024,Bærum,2020,2023,3201
3025,Asker,2020,2023,3203
3026,Aurskog-Høland,2020,2023,3226
3027,Rælingen,2020,2023,3224
3028,Enebakk,2020,2023,3220
3029,Lørenskog,2020,2023,3222
3030,Lillestrøm,2020,2023,3205
3031,Nittedal,2020,2023,3232
3032,Gjerdrum,2020,2023,3230
3033,Ullensaker,2020,2023,3209
3034,Nes,2020,2023,3228
3035,Eidsvoll,2020,2023,3240
3036,Nannestad,2020,2023,3238
3037,Hurdal,2020,2023,3242
3038,Hole,2020,2023,3310
3039,Flå,2020,2023,3320
3040,Nesbyen,2020,2023,3322
3041,Gol,2020,2023,3324
3042,Hemsedal,2020,2023,3326
3043,Ål,2020,2023,3328
3044,Hol,2020,2023,3330
3045,Sigdal,2020,2023,3332
3046,Krødsherad,2020,2023,3318
3047,Modum,2020,2023,3316
3048,Øvre Eiker,2020,2023,3314
3049,Lier,2020,2023,3312
3050,Flesberg,2020,2023,3334
3051,Rollag,2020,2023,3336
3052,Nore og Uvdal,2020,2023,3338
3053,Jevnaker,2020,2023,3236
3054,Lunner,2020,2023,3234
3101,Halden,,,3101
3103,Moss,,,3103
3105,Sarpsborg,,,3105
3107,Fredrikstad,,,3107
3110,Hvaler,,,3110
3112,Råde,,,3112
3114,Våler (Østfold),,,3114
3116,Skiptvet,,,3116
3118,Indre Østfold,,,3118
3120,Rakkestad,,,3120
3122,Marker,,,3122
3124,Aremark,,,3124
3201,Bærum,,,3201
3203,Asker,,,3203
3205,Lillestrøm,,,3205
3207,Nordre Follo,,,3207
3209,Ullensaker,,,3209
3212,Nesodden,,,3212
3214,Frogn,,,3214
3216,Vestby,,,3216
3218,Ås,,,3218
3220,Enebakk,,,3220
3222,Lørenskog,,,3222
3224,Rælingen,,,3224
3226,Aurskog-Høland,,,3226
3228,Nes,,,3228
3230,Gjerdrum,,,3230
3232,Nittedal,,,3232
3234,Lunner,,,3234
3236,Jevnaker,,,3236
3238,Nannestad,,,3238
3240,Eidsvoll,,,3240
3242,Hurdal,,,3242
3301,Drammen,,,3301
3303,Kongsberg,,,3303
3305,Ringerike,,,3305
3310,Hole,,,3310
3312,Lier,,,3312
3314,Øvre Eiker,,,3314
3316,Modum,,,3316
3318,Krødsherad,,,3318
3320,Flå,,,3320
3322,Nesbyen,,,3322
3324,Gol,,,3324
3326,Hemsedal,,,3326
3328,Ål,,,3328
3330,Hol,,,3330
3332,Sigdal,,,3332
3334,Flesberg,,,3334
3336,Rollag,,,3336
3338,Nore og Uvdal,,,3338
3401,Kongsvinger,,,3401
3403,Hamar,,,3403
3405,Lillehammer,,,3405
3407,Gjøvik,,,3407
3411,Ringsaker,,,3411
3412,Løten,,,3412
3413,Stange,,,3413
3414,Nord-Odal,,,3414
3415,Sør-Odal,,,3415
3416,Eidskog,,,3416
3417,Grue,,,3417
3418,Åsnes,,,3418
3419,Våler (Innlandet),,,3419
3420,Elverum,,,3420
3421,Trysil,,,3421
3422,Åmot,,,3422
