kom2024,parti,stemmer
4005,04,860
4005,05,417
4005,06,909
4005,07,157
4005,08,20
4005,10,22
4005,15,138
4010,01,542
4010,02,123
4010,03,192
4010,04,175
4010,05,124
4010,06,141
4010,07,37
4010,08,2
4010,15,5
4012,01,2981
4012,02,1218
4012,03,1605
4012,04,791
4012,05,239
4012,06,1033
4012,07,159
4012,08,20
4012,10,55
4012,15,58
4014,01,2363
4014,02,828
4014,03,1172
4014,04,762
4014,05,226
4014,06,920
4014,07,271
4014,08,23
4014,10,47
4014,15,39
4016,01,1096
4016,02,228
4016,03,302
4016,04,433
4016,05,224
4016,06,407
4016,07,123
4016,08,10
4016,10,13
4016,15,4
4018,01,1672
4018,02,483
4018,03,630
4018,04,506
4018,05,335
4018,06,605
4018,07,94
4018,08,9
4018,10,22
4018,15,7
4020,01,1960
4020,02,688
4020,03,773
4020,04,689
4020,05,673
4020,06,682
4020,07,229
4020,08,50
4020,10,22
4020,15,24
4022,01,602
4022,02,202
4022,03,251
4022,04,243
4022,05,181
4022,06,199
4022,07,73
4022,08,10
4022,10,8
4022,15,8
4024,01,410
4024,02,96
4024,03,131
4024,04,193
4024,05,174
4024,06,84
4024,07,12
4024,08,3
4024,10,7
4024,15,6
4026,01,1920
4026,02,387
4026,03,676
4026,04,213
4026,05,640
4026,06,607
4026,07,69
4026,08,8
4026,10,25
4026,15,9
4028,01,586
4028,02,174
4028,03,219
4028,04,265
4028,05,216
4028,06,231
4028,07,48
4028,08,5
4028,10,6
4028,15,6
4030,01,313
4030,02,88
4030,03,87
4030,04,224
4030,05,105
4030,06,110
4030,07,23
4030,08,3
4030,15,2
4032,01,341
4032,02,73
4032,03,65
4032,04,84
4032,05,128
4032,06,184
4032,07,23
4032,08,3
4032,10,3
4032,15,4
4034,01,678
4034,02,123
4034,03,226
4034,04,195
4034,05,207
4034,06,328
4034,07,20
4034,08,3
4034,10,7
4034,15,3
4036,01,634
4036,02,167
4036,03,296
4036,04,271
4036,05,358
4036,06,620
4036,07,54
4036,08,4
4036,10,6
4036,15,5
4201,01,1425
4201,02,632
4201,03,822
4201,04,653
4201,05,158
4201,06,372
4201,07,208
4201,08,15
4201,14,7
4201,15,36
4202,01,2051
4202,02,1634
4202,03,2013
4202,04,1930
4202,05,593
4202,06,528
4202,07,394
4202,08,36
4202,14,15
4202,15,21
4203,01,7898
4203,02,4100
4203,03,4751
4203,04,2844
4203,05,592
4203,06,1649
4203,07,1105
4203,08,74
4203,14,83
4203,15,95
4204,01,11211
4204,02,8834
4204,03,11888
4204,04,8304
4204,05,1013
4204,06,2957
4204,07,1964
4204,08,339
4204,10,1139
4204,15,204
4205,01,2823
4205,02,2136
4205,03,2450
4205,04,2339
4205,05,1039
4205,06,701
4205,07,712
4205,08,49
4205,10,216
4205,15,42
4206,01,1165
4206,02,1149
4206,03,1547
4206,04,1031
4206,05,260
4206,06,209
4206,07,226
4206,08,22
4206,10,57
4206,15,11
4207,01,1315
4207,02,925
4207,03,1358
4207,04,1143
4207,05,222
4207,06,234
4207,07,254
4207,08,17
4207,10,49
4207,15,1
4211,01,655
4211,02,170
4211,03,168
4211,04,265
4211,05,147
4211,06,118
4211,07,76
4211,08,2
4211,14,8
4211,15,2
4212,01,491
4212,02,107
4212,03,140
4212,04,287
4212,05,115
4212,06,33
4212,07,43
4212,08,1
4212,15,1
4213,01,1063
4213,02,665
4213,03,685
4213,04,579
4213,05,251
4213,06,262
4213,07,193
4213,08,9
4213,14,7
4213,15,4
4214,01,938
4214,02,337
4214,03,245
4214,04,432
4214,05,229
4214,06,123
4214,07,90
4214,08,4
4214,14,6
4214,15,2
4215,01,1141
4215,02,881
4215,03,1216
4215,04,780
4215,05,167
4215,06,330
4215,07,242
4215,08,39
4215,14,12
4215,15,11
4216,01,629
4216,02,446
4216,03,364
4216,04,613
4216,05,250
4216,06,116
4216,07,74
4216,08,8
4216,14,4
4216,15,5
4217,01,606
4217,02,109
4217,03,105
4217,04,134
4217,05,156
4217,06,100
4217,07,20
4217,08,5
4217,14,8
4217,15,5
4218,01,169
4218,02,109
4218,03,72
4218,04,178
4218,05,85
4218,06,32
4218,07,22
4218,08,2
4218,14,4
4218,15,2
4219,01,828
4219,02,285
4219,03,273
4219,04,376
4219,05,153
4219,06,102
4219,07,80
4219,08,3
4219,14,6
4219,15,4
4220,01,284
4220,02,72
4220,03,112
4220,04,143
4220,05,170
4220,06,42
4220,07,32
4220,08,2
4220,14,2
4220,15,6
4221,01,291
4221,02,113
4221,03,92
4221,04,207
4221,05,158
4221,06,33
4221,07,18
4221,14,1
4221,15,4
4222,01,139
4222,02,54
4222,03,53
4222,04,82
4222,05,59
4222,06,30
4222,07,3
4222,08,1
4222,15,1
4223,01,2342
4223,02,1180
4223,03,709
4223,04,1844
4223,05,313
4223,06,385
4223,07,178
4223,08,21
4223,10,98
4223,15,8
4224,01,109
4224,02,70
4224,03,92
4224,04,136
4224,05,124
4224,06,10
4224,07,6
4224,08,1
4224,10,6
4225,01,692
4225,02,598
4225,03,870
4225,04,1011
4225,05,278
4225,06,135
4225,07,157
4225,08,10
4225,10,29
4225,15,8
4226,01,226
4226,02,92
4226,03,108
4226,04,330
4226,05,150
4226,06,14
4226,07,15
4226,08,3
4226,10,15
4227,01,834
4227,02,631
4227,03,584
4227,04,787
4227,05,185
4227,06,139
4227,07,117
4227,08,4
4227,10,44
4227,15,8
4228,01,236
4228,02,70
4228,03,208
4228,04,261
4228,05,190
4228,06,40
4228,07,63
4228,08,3
4228,10,2
4228,15,5
4601,01,41787
4601,02,21196
4601,03,35845
4601,04,10370
4601,05,2061
4601,06,13417
4601,07,4789
4601,08,771
4601,10,630
4601,14,575
4601,15,2221
4602,01,2800
4602,02,1013
4602,03,2521
4602,04,1109
4602,05,548
4602,06,631
4602,07,867
4602,15,68
4611,01,601
4611,02,276
4611,03,399
4611,04,432
4611,05,439
4611,06,142
4611,07,134
4611,08,11
4611,10,1
4611,14,12
4611,15,6
4612,01,643
4612,02,445
4612,03,524
4612,04,501
4612,05,285
4612,06,140
4612,07,138
4612,08,4
4612,10,6
4612,14,11
4612,15,7
4613,01,1062
4613,02,795
4613,03,1041
4613,04,1812
4613,05,295
4613,06,346
4613,07,329
4613,08,12
4613,10,3
4613,14,15
4613,15,13
4614,01,2690
4614,02,1241
4614,03,1558
4614,04,1285
4614,05,353
4614,06,825
4614,07,564
4614,08,37
4614,10,18
4614,14,18
4614,15,66
4615,01,309
4615,02,309
4615,03,331
4615,04,489
4615,05,198
4615,06,88
4615,07,79
4615,08,4
4615,10,1
4615,14,7
4615,15,7
4616,01,339
4616,02,251
4616,03,369
4616,04,368
4616,05,301
4616,06,83
4616,07,70
4616,08,4
4616,10,5
4616,14,1
4616,15,7
4617,01,2019
4617,02,1123
4617,03,1381
4617,04,1222
4617,05,974
4617,06,635
4617,07,311
4617,08,25
4617,10,17
4617,14,8
4617,15,51
4618,01,3244
4618,02,727
4618,03,1247
4618,04,687
4618,05,980
4618,06,1160
4618,07,381
4618,08,30
4618,10,26
4618,14,59
4618,15,109
4619,01,297
4619,02,88
4619,03,107
4619,04,36
4619,05,83
4619,06,36
4619,07,22
4619,08,3
4619,10,4
4619,14,2
4619,15,4
4620,01,215
4620,02,51
4620,03,120
4620,04,32
4620,05,174
4620,06,87
4620,07,71
4620,08,3
4620,10,5
4620,14,5
4620,15,11
4621,01,3498
4621,02,704
4621,03,1248
4621,04,917
4621,05,1697
4621,06,835
4621,07,384
4621,08,43
4621,10,26
4621,14,21
4621,15,153
4622,01,1348
4622,02,553
4622,03,965
4622,04,977
4622,05,773
4622,06,374
4622,07,273
4622,08,18
4622,10,13
4622,14,17
4622,15,12
4623,01,583
4623,02,169
4623,03,204
4623,04,241
4623,05,104
4623,06,107
4623,07,48
4623,08,5
4623,10,2
4623,15,6
4624,01,2672
4624,02,1588
4624,03,2178
4624,04,1259
4624,05,887
4624,06,678
4624,07,380
4624,08,29
4624,10,20
4624,14,21
4624,15,59
4625,01,386
4625,02,302
4625,03,537
4625,04,439
4625,05,597
4625,06,91
4625,07,52
4625,08,6
4625,10,7
4625,14,4
4625,15,9
4626,01,3661
4626,02,2369
4626,03,3138
4626,04,2281
4626,05,427
4626,06,776
4626,07,370
4626,08,36
4626,10,39
4626,14,30
4626,15,57
4627,01,3691
4627,02,1792
4627,03,2256
4627,04,1176
4627,05,178
4627,06,1390
4627,07,411
4627,08,41
4627,10,23
4627,14,22
4627,15,81
4628,01,1244
4628,02,271
4628,03,383
4628,04,418
4628,05,238
4628,06,307
4628,07,101
4628,08,11
4628,10,8
4628,14,5
4628,15,20
4629,01,33
4629,02,17
4629,03,33
4629,04,31
4629,05,41
4629,06,18
4629,07,5
4629,08,1
4630,01,1276
4630,02,612
4630,03,728
4630,04,612
4630,05,480
4630,06,345
4630,07,166
4630,08,14
4630,10,13
4630,14,11
4630,15,16
4631,01,3012
4631,02,1524
4631,03,2324
4631,04,2430
4631,05,1364
4631,06,914
4631,07,542
4631,08,42
4631,10,26
4631,14,32
4631,15,44
4632,01,347
4632,02,229
4632,03,381
4632,04,333
4632,05,98
4632,06,73
4632,07,82
4632,08,3
4632,10,2
4632,14,2
4632,15,11
4633,01,126
4633,02,60
4633,03,125
4633,04,140
4633,05,10
4633,06,21
4633,07,15
4633,14,2
4633,15,1
4634,01,300
4634,02,109
4634,03,213
4634,04,235
4634,05,180
4634,06,80
4634,07,60
4634,08,3
4634,10,1
4634,14,3
4634,15,6
4635,01,384
4635,02,126
4635,03,270
4635,04,266
4635,05,316
4635,06,111
4635,07,64
4635,15,9
4636,01,148
4636,02,51
4636,03,164
4636,04,113
4636,05,65
4636,06,39
4636,07,46
4636,15,6
4637,01,329
4637,02,46
4637,03,159
4637,04,172
4637,05,245
4637,06,69
4637,07,53
4637,15,7
4638,01,1455
4638,02,175
4638,03,393
4638,04,268
4638,05,299
4638,06,322
4638,07,82
4638,15,25
4639,01,488
4639,02,82
4639,03,211
4639,04,190
4639,05,413
4639,06,128
4639,07,34
4639,15,13
4640,01,1495
4640,02,217
4640,03,738
4640,04,649
4640,05,745
4640,06,411
4640,07,276
4640,15,42
4641,01,383
4641,02,67
4641,03,204
4641,04,94
4641,05,209
4641,06,112
4641,07,61
4641,15,5
4642,01,1266
4642,02,151
4642,03,389
4642,04,317
4642,05,527
4642,06,285
4642,07,180
4642,15,24
4643,01,2659
4643,02,251
4643,03,324
4643,04,159
4643,05,84
4643,06,447
4643,07,81
4643,15,23
4644,01,1312
4644,02,138
4644,03,273
4644,04,625
4644,05,435
4644,06,200
4644,07,115
4644,15,15
4645,01,602
4645,02,120
4645,03,330
4645,04,379
4645,05,394
4645,06,109
4645,07,92
4645,15,18
4646,01,959
4646,02,158
4646,03,528
4646,04,675
4646,05,872
4646,06,220
4646,07,171
4646,15,42
4647,01,2125
4647,02,410
4647,03,1210
4647,04,1853
4647,05,1612
4647,06,842
4647,07,317
4647,15,94
4648,01,942
4648,02,178
4648,03,573
4648,04,497
4648,05,291
4648,06,229
4648,07,155
4648,15,13
4649,01,1270
4649,02,496
4649,03,987
4649,04,793
4649,05,1073
4649,06,250
4649,07,390
4649,15,16
4650,01,844
4650,02,224
4650,03,668
4650,04,821
4650,05,1690
4650,06,243
4650,07,312
4650,15,24
4651,01,863
4651,02,282
4651,03,647
4651,04,529
4651,05,1525
4651,06,141
4651,07,95
4651,15,39
5001,01,32114
5001,02,9879
5001,03,23359
5001,04,4813
5001,05,2684
5001,06,12573
5001,07,2772
5001,08,536
5001,14,312
5001,15,1402
5006,01,6378
5006,02,1178
5006,03,1866
5006,04,546
5006,05,3334
5006,06,2094
5006,07,825
5006,08,22
5006,14,45
5006,15,44
5007,01,3289
5007,02,636
5007,03,1008
5007,04,447
5007,05,802
5007,06,1368
5007,07,297
5007,08,14
5007,14,12
5007,15,28
5014,01,996
5014,02,261
5014,03,386
5014,04,338
5014,05,123
5014,06,275
5014,07,83
5014,08,5
5014,14,10
5014,15,4
5020,01,436
5020,02,139
5020,03,202
5020,04,227
5020,05,303
5020,06,127
5020,07,67
5020,08,3
5020,14,3
5020,15,5
5021,01,1355
5021,02,300
5021,03,708
5021,04,396
5021,05,689
5021,06,317
5021,07,148
5021,08,8
5021,14,6
5021,15,3
5022,01,601
5022,02,93
5022,03,186
5022,04,362
5022,05,364
5022,06,116
5022,07,80
5022,08,1
5022,14,6
5022,15,4
5025,01,1637
5025,02,286
5025,03,504
5025,04,131
5025,05,275
5025,06,530
5025,07,113
5025,08,9
5025,14,16
5025,15,44
5026,01,1003
5026,02,73
5026,03,117
5026,04,96
5026,05,155
5026,06,234
5026,07,44
5026,08,2
5026,14,5
5026,15,7
5027,01,1527
5027,02,224
5027,03,336
5027,04,462
5027,05,839
5027,06,287
5027,07,152
5027,08,7
5027,14,4
5027,15,14
5028,01,2877
5028,02,671
5028,03,1162
5028,04,782
5028,05,1066
5028,06,693
5028,07,241
5028,08,16
5028,14,26
5028,15,13
5029,01,1239
5029,02,293
5029,03,478
5029,04,304
5029,05,598
5029,06,339
5029,07,108
5029,08,8
5029,14,1
5029,15,3
5031,01,2469
5031,02,606
5031,03,1146
5031,04,250
5031,05,286
5031,06,740
5031,07,177
5031,08,28
5031,14,17
5031,15,29
5032,01,1059
5032,02,161
5032,03,408
5032,04,171
5032,05,403
5032,06,284
5032,07,92
5032,08,3
5032,14,1
5032,15,16
5033,01,287
5033,02,56
5033,03,78
5033,04,24
5033,05,105
5033,06,86
5033,07,20
5033,08,3
5033,15,4
5034,01,795
5034,02,136
5034,03,155
5034,04,42
5034,05,136
5034,06,309
5034,07,121
5034,08,4
5034,14,3
5034,15,6
5035,01,3905
5035,02,1066
5035,03,1581
5035,04,718
5035,05,1516
5035,06,1195
5035,07,457
5035,08,14
5035,14,18
5035,15,48
5036,01,529
5036,02,93
5036,03,185
5036,04,135
5036,05,466
5036,06,108
5036,07,70
5036,08,3
5036,14,2
5036,15,3
5037,01,3550
5037,02,770
5037,03,1244
5037,04,771
5037,05,1836
5037,06,1667
5037,07,439
5037,08,21
5037,14,32
5037,15,35
5038,01,3554
5038,02,673
5038,03,777
5038,04,261
5038,05,1294
5038,06,1145
5038,07,286
5038,08,5
5038,14,25
5038,15,48
5041,01,609
5041,02,56
5041,03,99
5041,04,25
5041,05,558
5041,06,190
5041,07,99
5041,08,2
5041,14,1
5041,15,5
5042,01,409
5042,02,53
5042,03,74
5042,04,69
5042,05,222
5042,06,71
5042,07,73
5042,08,3
5042,15,2
5043,01,206
5043,02,25
5043,03,32
5043,04,45
5043,05,57
5043,06,39
5043,07,36
5043,08,1
5043,15,2
5044,01,395
5044,02,63
5044,03,69
5044,04,36
5044,05,86
5044,06,94
5044,07,25
5044,08,2
5044,14,2
5044,15,3
5045,01,672
5045,02,87
5045,03,158
5045,04,21
5045,05,426
5045,06,250
5045,07,75
5045,08,1
5045,15,6
5046,01,350
5046,02,39
5046,03,36
5046,04,34
5046,05,310
5046,06,77
5046,07,63
5046,08,1
5046,14,4
5046,15,1
5047,01,827
5047,02,129
5047,03,225
5047,04,63
5047,05,723
5047,06,248
5047,07,121
5047,08,2
5047,14,1
5047,15,2
5049,01,289
5049,02,95
5049,03,123
5049,04,77
5049,05,180
5049,06,84
5049,07,38
5049,08,1
5049,14,1
5049,15,2
5052,01,200
5052,02,37
5052,03,28
5052,04,11
5052,05,134
5052,06,81
5052,07,12
5052,08,2
5052,14,2
5052,15,2
5053,01,2248
5053,02,456
5053,03,622
5053,04,481
5053,05,1646
5053,06,673
5053,07,315
5053,08,8
5053,14,15
5053,15,10
5054,01,1278
5054,02,318
5054,03,574
5054,04,486
5054,05,894
5054,06,301
5054,07,136
5054,08,17
5054,14,11
5054,15,12
5055,01,1315
5055,02,303
5055,03,476
5055,04,418
5055,05,572
5055,06,224
5055,07,122
5055,08,9
5055,14,7
5055,15,22
5056,01,844
5056,02,291
5056,03,466
5056,04,226
5056,05,274
5056,06,314
5056,07,42
5056,08,11
5056,14,5
5056,15,33
5057,01,1801
5057,02,690
5057,03,1211
5057,04,430
5057,05,991
5057,06,532
5057,07,221
5057,08,12
5057,14,13
5057,15,26
5058,01,568
5058,02,199
5058,03,329
5058,04,336
5058,05,526
5058,06,154
5058,07,103
5058,08,7
5058,14,7
5058,15,4
5059,01,4057
5059,02,759
5059,03,1350
5059,04,1253
5059,05,1430
5059,06,972
5059,07,393
5059,08,16
5059,14,38
5059,15,47
5060,01,2121
5060,02,532
5060,03,611
5060,04,373
5060,05,1090
5060,06,523
5060,07,274
5060,08,24
5060,14,17
5060,15,19
5061,01,464
5061,02,68
5061,03,122
5061,04,182
5061,05,403
5061,06,74
5061,07,22
5061,10,1
5061,14,2
5061,15,1
5501,01,9945
5501,02,3623
5501,03,6539
5501,04,1792
5501,05,584
5501,06,5588
5501,07,983
5501,08,135
5501,10,112
5501,14,102
5501,15,427
5503,01,4441
5503,02,1811
5503,03,4230
5503,04,735
5503,05,498
5503,06,1458
5503,07,390
5503,08,30
5503,10,55
5503,14,25
5503,15,78
5510,01,696
5510,02,172
5510,03,454
5510,04,105
5510,05,179
5510,06,229
5510,07,107
5510,08,8
5510,10,6
5510,14,3
5510,15,28
5512,01,1155
5512,02,400
5512,03,729
5512,04,239
5512,05,136
5512,06,277
5512,07,75
5512,08,1
5512,10,14
5512,14,14
5512,15,4
5514,01,550
5514,02,135
5514,03,261
5514,04,136
5514,05,65
5514,06,146
5514,07,52
5514,08,1
5514,10,9
5514,14,3
5514,15,2
5516,01,425
5516,02,92
5516,03,146
5516,04,75
5516,05,76
5516,06,82
5516,07,11
5516,08,2
5516,10,6
5516,14,1
5518,01,384
5518,02,61
5518,03,157
5518,04,68
5518,05,30
5518,06,57
5518,07,9
5518,08,1
5518,10,1
5518,15,2
5520,01,960
5520,02,284
5520,03,515
5520,04,108
5520,05,229
5520,06,190
5520,07,49
5520,08,4
5520,10,6
5520,14,5
5520,15,5
5522,01,657
5522,02,154
5522,03,230
5522,04,117
5522,05,108
5522,06,184
5522,07,21
5522,08,8
5522,10,9
5522,14,4
5522,15,8
5524,01,1632
5524,02,500
5524,03,998
5524,04,216
5524,05,332
5524,06,457
5524,07,162
5524,08,14
5524,10,17
5524,14,22
5524,15,11
5526,01,924
5526,02,204
5526,03,295
5526,04,185
5526,05,97
5526,06,212
5526,07,38
5526,08,5
5526,10,8
5526,14,2
5526,15,2
5528,01,427
5528,02,100
5528,03,123
5528,04,84
5528,05,115
5528,06,91
5528,07,11
5528,08,4
5528,10,2
5528,14,3
5528,15,2
5530,01,4164
5530,02,926
5530,03,1585
5530,04,781
5530,05,390
5530,06,1045
5530,07,171
5530,08,23
5530,10,47
5530,14,42
5530,15,53
5532,01,1484
5532,02,431
5532,03,522
5532,04,304
5532,05,321
5532,06,492
5532,07,122
5532,08,8
5532,10,21
5532,14,6
5532,15,28
5534,01,732
5534,02,166
5534,03,183
5534,04,68
5534,05,190
5534,06,194
5534,07,30
5534,08,6
5534,10,4
5534,14,7
5534,15,5
5536,01,969
5536,02,227
5536,03,213
5536,04,198
5536,05,86
5536,06,299
5536,07,37
5536,08,6
5536,10,6
5536,14,7
5536,15,17
5538,01,512
5538,02,93
5538,03,158
5538,04,81
5538,05,35
5538,06,152
5538,07,10
5538,08,7
5538,15,5
5540,01,613
5540,02,118
5540,03,181
5540,04,303
5540,05,85
5540,06,278
5540,07,24
5540,08,14
5540,10,6
5540,14,6
5540,15,7
5542,01,597
5542,02,127
5542,03,309
5542,04,303
5542,05,92
5542,06,211
5542,07,58
5542,08,7
5542,10,7
5542,14,1
5542,15,5
5544,01,1187
5544,02,251
5544,03,378
5544,04,260
5544,05,141
5544,06,309
5544,07,53
5544,08,6
5544,10,6
5544,14,7
5544,15,10
5546,01,393
5546,02,116
5546,03,165
5546,04,124
5546,05,26
5546,06,80
5546,07,11
5546,08,10
5546,10,5
5546,14,10
5546,15,7
5601,01,2450
5601,02,643
5601,03,946
5601,04,468
5601,05,103
5601,06,1113
5601,07,150
5601,08,28
5601,14,8
5601,15,67
5601,25,1615
5603,01,2349
5603,02,338
5603,03,713
5603,04,204
5603,05,65
5603,06,1067
5603,07,48
5603,08,8
5603,14,15
5603,15,60
5603,25,1338
5605,01,2082
5605,02,282
5605,03,934
5605,04,172
5605,05,82
5605,06,897
5605,07,88
5605,08,14
5605,14,18
5605,15,50
5605,25,1025
5607,01,1197
5607,02,158
5607,03,470
5607,04,189
5607,05,25
5607,06,493
5607,07,62
5607,08,13
5607,14,14
5607,15,29
5607,25,881
5610,01,550
5610,02,80
5610,03,190
5610,04,113
5610,05,68
5610,06,154
5610,07,23
5610,08,9
5610,14,1
5610,15,10
5610,25,168
5612,01,361
5612,02,151
5612,03,254
5612,04,179
5612,05,58
5612,06,124
5612,07,74
5612,08,5
5612,14,9
5612,15,4
5612,25,100
5614,01,396
5614,02,57
5614,03,84
5614,04,57
5614,05,33
5614,06,117
5614,07,4
5614,08,4
5614,15,11
5614,25,233
5616,01,358
5616,02,61
5616,03,59
5616,04,24
5616,05,10
5616,06,130
5616,07,8
5616,08,2
5616,14,1
5616,15,3
5616,25,139
5618,01,403
5618,02,51
5618,03,79
5618,04,25
5618,05,123
5618,06,125
5618,07,3
5618,08,3
5618,15,5
5618,25,176
5620,01,932
5620,02,147
5620,03,250
5620,04,77
5620,05,17
5620,06,317
5620,07,11
5620,08,3
5620,14,2
5620,15,11
5620,25,521
5622,01,937
5622,02,205
5622,03,341
5622,04,81
5622,05,22
5622,06,234
5622,07,27
5622,08,13
5622,14,9
5622,15,20
5622,25,498
5624,01,382
5624,02,32
5624,03,37
5624,04,40
5624,05,9
5624,06,150
5624,07,3
5624,08,1
5624,14,2
5624,15,7
5624,25,271
5626,01,262
5626,02,59
5626,03,42
5626,04,15
5626,05,7
5626,06,113
5626,07,5
5626,08,4
5626,14,4
5626,15,9
5626,25,282
5628,01,626
5628,02,142
5628,03,249
5628,04,102
5628,05,73
5628,06,172
5628,07,47
5628,08,15
5628,14,5
5628,15,15
5628,25,333
5630,01,291
5630,02,41
5630,03,61
5630,04,18
5630,05,4
5630,06,109
5630,07,7
5630,08,3
5630,14,2
5630,15,7
5630,25,279
5632,01,447
5632,02,88
5632,03,117
5632,04,31
5632,05,5
5632,06,109
5632,07,17
5632,08,1
5632,14,5
5632,15,6
5632,25,384
5634,01,650
5634,02,133
5634,03,179
5634,04,24
5634,05,2
5634,06,227
5634,07,38
5634,08,4
5634,14,9
5634,15,22
5634,25,485
5636,01,285
5636,02,36
5636,03,74
5636,04,20
5636,05,21
5636,06,55
5636,07,12
5636,08,10
5636,14,4
5636,15,2
5636,25,89
