kom2024,parti,stemmer
1514,14,7
1514,15,1
1515,01,1065
1515,02,741
1515,03,767
1515,04,1752
1515,05,178
1515,06,217
1515,07,230
1515,08,4
1515,10,8
1515,14,9
1515,15,4
1516,01,778
1516,02,427
1516,03,769
1516,04,815
1516,05,186
1516,06,229
1516,07,261
1516,08,6
1516,10,3
1516,14,4
1516,15,4
1517,01,513
1517,02,445
1517,03,477
1517,04,497
1517,05,152
1517,06,156
1517,07,463
1517,08,1
1517,10,4
1517,14,11
1517,15,7
1520,01,1598
1520,02,713
1520,03,981
1520,04,1176
1520,05,841
1520,06,580
1520,07,430
1520,08,9
1520,10,7
1520,14,25
1520,15,9
1525,01,680
1525,02,335
1525,03,515
1525,04,579
1525,05,434
1525,06,176
1525,07,191
1525,08,3
1525,10,5
1525,14,9
1525,15,5
1528,01,1038
1528,02,582
1528,03,788
1528,04,794
1528,05,395
1528,06,242
1528,07,256
1528,08,8
1528,10,9
1528,14,20
1528,15,10
1531,01,982
1531,02,692
1531,03,858
1531,04,959
1531,05,83
1531,06,227
1531,07,214
1531,08,8
1531,10,13
1531,14,19
1531,15,3
1532,01,592
1532,02,526
1532,03,773
1532,04,1097
1532,05,285
1532,06,135
1532,07,180
1532,08,7
1532,10,5
1532,14,12
1532,15,7
1535,01,1079
1535,02,538
1535,03,595
1535,04,584
1535,05,421
1535,06,294
1535,07,134
1535,08,5
1535,10,11
1535,14,13
1535,15,12
1539,01,1533
1539,02,599
1539,03,793
1539,04,749
1539,05,557
1539,06,412
1539,07,152
1539,08,13
1539,10,5
1539,14,9
1539,15,15
1547,01,475
1547,02,204
1547,03,299
1547,04,343
1547,05,147
1547,06,144
1547,07,118
1547,08,1
1547,10,4
1547,14,9
1547,15,3
1554,01,1123
1554,02,331
1554,03,468
1554,04,463
1554,05,411
1554,06,225
1554,07,189
1554,08,3
1554,10,10
1554,14,12
1554,15,10
1557,01,483
1557,02,173
1557,03,181
1557,04,301
1557,05,438
1557,06,99
1557,07,66
1557,08,2
1557,10,2
1557,14,4
1557,15,8
1560,01,825
1560,02,178
1560,03,274
1560,04,288
1560,05,341
1560,06,155
1560,07,94
1560,08,6
1560,10,8
1560,14,6
1560,15,1
1563,01,2269
1563,02,428
1563,03,571
1563,04,315
1563,05,477
1563,06,581
1563,07,154
1563,08,12
1563,10,27
1563,14,24
1563,15,15
1566,01,1607
1566,02,341
1566,03,387
1566,04,423
1566,05,741
1566,06,299
1566,07,102
1566,08,2
1566,10,5
1566,14,10
1566,15,3
1573,01,623
1573,02,130
1573,03,218
1573,04,164
1573,05,277
1573,06,145
1573,07,57
1573,10,9
1573,14,1
1576,01,1335
1576,02,241
1576,03,509
1576,04,408
1576,05,797
1576,06,234
1576,07,164
1576,08,9
1576,10,8
1576,14,6
1576,15,8
1577,01,1146
1577,02,457
1577,03,726
1577,04,1098
1577,05,542
1577,06,523
1577,07,468
1577,08,8
1577,10,7
1577,14,9
1577,15,15
1578,01,349
1578,02,163
1578,03,252
1578,04,314
1578,05,466
1578,06,138
1578,07,118
1578,08,6
1578,10,6
1578,14,2
1578,15,6
1579,01,1985
1579,02,1178
1579,03,1055
1579,04,1207
1579,05,946
1579,06,474
1579,07,205
1579,08,9
1579,10,5
1579,14,15
1579,15,14
1580,01,1483
1580,02,701
1580,03,904
1580,04,1130
1580,05,357
1580,06,316
1580,07,363
1580,08,8
1580,10,12
1580,14,20
1580,15,11
1804,01,7340
1804,02,2579
1804,03,6180
1804,04,1346
1804,05,603
1804,06,2989
1804,07,596
1804,10,56
1804,14,83
1804,15,226
1806,01,5566
1806,02,1240
1806,03,2543
1806,04,696
1806,05,534
1806,06,1901
1806,07,457
1806,10,63
1806,14,63
1806,15,165
1811,01,541
1811,02,73
1811,03,130
1811,04,90
1811,05,203
1811,06,212
1811,07,44
1811,10,7
1811,14,2
1811,15,11
1812,01,486
1812,02,66
1812,03,141
1812,04,80
1812,05,268
1812,06,225
1812,07,18
1812,10,2
1812,14,2
1812,15,21
1813,01,1449
1813,02,421
1813,03,595
1813,04,254
1813,05,285
1813,06,691
1813,07,86
1813,10,12
1813,14,23
1813,15,51
1815,01,382
1815,02,59
1815,03,117
1815,04,76
1815,05,129
1815,06,161
1815,07,51
1815,10,6
1815,14,2
1815,15,10
1816,01,157
1816,02,30
1816,03,54
1816,04,27
1816,05,44
1816,06,73
1816,07,8
1816,15,7
1818,01,513
1818,02,99
1818,03,162
1818,04,101
1818,05,73
1818,06,114
1818,07,33
1818,10,10
1818,14,4
1818,15,6
1820,01,1351
1820,02,605
1820,03,844
1820,04,232
1820,05,329
1820,06,526
1820,07,139
1820,10,25
1820,14,16
1820,15,101
1822,01,576
1822,02,93
1822,03,154
1822,04,84
1822,05,197
1822,06,163
1822,07,41
1822,10,6
1822,14,3
1822,15,20
1824,01,3952
1824,02,708
1824,03,1239
1824,04,368
1824,05,537
1824,06,1078
1824,07,184
1824,10,16
1824,14,17
1824,15,98
1825,01,566
1825,02,77
1825,03,118
1825,04,50
1825,05,147
1825,06,127
1825,07,8
1825,10,8
1825,14,3
1825,15,14
1826,01,558
1826,02,37
1826,03,63
1826,04,59
1826,05,189
1826,06,139
1826,07,36
1826,10,2
1826,14,1
1826,15,11
1827,01,359
1827,02,109
1827,03,159
1827,04,61
1827,05,172
1827,06,133
1827,07,14
1827,10,1
1827,14,4
1827,15,26
1828,01,438
1828,02,74
1828,03,168
1828,04,76
1828,05,122
1828,06,170
1828,07,29
1828,10,2
1828,14,11
1828,15,11
1832,01,1283
1832,02,231
1832,03,421
1832,04,163
1832,05,293
1832,06,568
1832,07,71
1832,10,5
1832,14,9
1832,15,15
1833,01,6595
1833,02,914
1833,03,2054
1833,04,450
1833,05,405
1833,06,3874
1833,07,229
1833,10,24
1833,14,33
1833,15,221
1834,01,473
1834,02,124
1834,03,190
1834,04,133
1834,05,182
1834,06,168
1834,07,48
1834,10,1
1834,14,4
1834,15,6
1835,01,72
