kom2024,aar,stemmeberettigede,avgitte_stemmer,godkjente_stemmer,forkastede_stemmer,blanke_stemmer,rettede_stemmer,forhandsstemmer,forhandsstemmer_prosent,valgdeltakelse_prosent
5601,2015,14886,8351,8278,9,64,5354,3617,43.31,56.1
5603,2015,355214,215609,213858,313,1438,93829,56952,26.41,60.7
5605,2015,7886,4432,4394,9,29,2644,1091,24.62,56.2
5607,2015,4842,3055,3018,3,34,1779,730,23.9,63.1
5610,2015,2170,1441,1430,1,10,1004,367,25.47,66.4
5612,2015,2348,1580,1577,1,2,1267,619,39.18,67.3
5614,2015,827,542,536,0,6,406,137,25.28,65.5
5616,2015,825,519,515,0,4,322,128,24.66,62.9
5618,2015,996,554,545,2,7,358,202,36.46,55.6
5620,2015,2417711,1440341,1427899,2183,10259,644211,327101,22.71,59.57
5622,2015,3184,2149,2129,7,13,1343,638,29.69,67.5
5624,2015,1055,687,680,3,4,495,258,37.55,65.1
5626,2015,870,564,560,1,3,451,187,33.16,64.8
5628,2015,2336,1390,1377,0,13,917,315,22.66,59.5
5630,2015,809,448,428,4,16,254,117,26.12,55.4
5632,2015,1671,1036,1010,2,24,563,355,34.27,62.0
5634,2015,1705,1016,1006,0,10,708,256,25.2,59.6
5636,2015,750,526,515,3,8,380,179,34.03,70.1
0301,2019,545234,368578,367389,59,1922,158486,156012,42.33,67.6
1101,2019,11533,7623,7599,20,78,4785,2256,29.59,66.1
1103,2019,109660,72485,72063,52,511,32533,23066,31.82,66.1
1106,2019,29538,17575,17496,31,155,8910,7113,40.47,59.5
1108,2019,59144,37320,37150,26,305,16401,8737,23.41,63.1
1111,2019,2536,1844,1837,4,15,1259,419,22.72,72.7
1112,2019,2419,1679,1696,3,23,1086,479,28.53,69.4
1114,2019,2073,1528,1511,2,25,1095,331,21.66,73.7
1119,2019,13847,9070,9019,20,58,4953,3336,36.78,65.5
1120,2019,14557,9535,9511,8,83,4768,2857,29.96,65.5
1121,2019,14217,9895,9814,18,105,5314,2692,27.21,69.6
1122,2019,8777,5758,5721,11,68,3310,1951,33.88,65.6
1124,2019,20124,13342,13305,29,114,5708,4110,30.8,66.3
1127,2019,8422,5845,5808,12,79,2685,1840,31.48,69.4
1130,2019,9697,6313,6277,0,51,3246,1285,20.35,65.1
1133,2019,1957,1354,1352,1,18,851,300,22.16,69.2
1134,2019,2939,2119,2106,1,10,1450,453,21.38,72.1
1135,2019,3642,2491,2485,4,14,1470,831,33.36,68.4
1144,2019,416,354,351,1,1,283,85,24.01,85.1
1145,2019,672,508,504,4,5,347,153,30.12,75.6
1146,2019,8214,5561,5523,22,62,3280,1875,33.72,67.7
1149,2019,32515,19964,19863,42,181,11304,7834,39.24,61.4
1151,2019,155,128,129,0,5,110,74,57.81,82.7
1160,2019,6726,4271,4243,3,28,2584,968,22.66,63.5
1505,2019,19499,11602,11475,27,132,5784,3578,30.84,59.5
1506,2019,25228,15742,15657,4,92,7926,4802,30.5,62.4
1508,2019,51153,31101,30868,30,210,16803,11166,35.9,60.8
1511,2019,2650,1757,1751,3,11,1155,517,29.43,66.3
1514,2019,1974,1293,1297,7,6,987,268,20.73,65.5
1515,2019,6928,4254,4273,21,32,2771,1123,26.4,61.4
1516,2019,6553,4220,4202,9,30,2617,1205,28.55,64.4
1517,2019,3957,2509,2495,7,13,1709,675,26.9,63.4
1520,2019,8417,5395,5355,9,24,3541,1428,26.47,64.1
1525,2019,3633,2289,2278,3,14,1221,716,31.28,63.0
1528,2019,5980,3893,3885,4,27,2776,1188,30.52,65.1
1531,2019,6935,4300,4247,22,36,2493,1002,23.3,62.0
1532,2019,6264,4015,3997,8,22,2320,852,21.22,64.1
1535,2019,5219,3241,3209,11,25,1874,842,25.98,62.1
1539,2019,5907,3940,3921,10,19,2395,1643,41.7,66.7
1547,2019,2751,1843,1833,5,15,1327,594,32.23,67.0
1554,2019,4551,2858,2847,7,25,1710,940,32.89,62.8
1557,2019,2067,1335,1318,3,9,932,462,34.61,64.6
1560,2019,2430,1660,1643,0,5,1101,394,23.73,68.3
1563,2019,5694,3929,3918,4,15,2434,1124,28.61,69.0
1566,2019,4805,3075,3049,6,15,1814,735,23.9,64.0
1573,2019,1729,1207,1197,4,14,774,446,36.95,69.8
1576,2019,2858,2046,2020,3,10,1429,804,39.3,71.6
1577,2019,8130,5634,5610,5,34,3349,1742,30.92,69.3
1578,2019,2072,1345,1339,2,11,933,379,28.18,64.9
1579,2019,10216,6375,6336,8,43,3980,1298,20.36,62.4
1804,2019,40935,25625,25525,62,216,11059,8385,32.72,62.6
1806,2019,17535,9995,10000,6,92,5202,2549,25.5,57.0
1811,2019,1156,932,928,2,10,522,389,41.74,80.6
1812,2019,1600,1192,1185,5,2,746,304,25.5,74.5
1813,2019,6242,3920,3904,3,24,2040,1031,26.3,62.8
1815,2019,991,741,734,2,7,483,224,30.23,74.8
1816,2019,403,269,264,2,12,185,120,44.61,66.7
1818,2019,1375,902,896,1,5,581,282,31.26,65.6
1820,2019,5922,3814,3784,13,10,2117,1832,48.03,64.4
1822,2019,1765,1241,1231,4,10,815,597,48.11,70.3
1824,2019,10743,6897,6882,12,38,3887,2690,39.0,64.2
1825,2019,1188,878,874,0,5,463,396,45.1,73.9
1826,2019,1094,790,789,1,7,439,211,26.71,72.2
1827,2019,1117,814,809,3,7,517,232,28.5,72.9
1828,2019,1382,956,944,9,8,583,328,34.31,69.2
1832,2019,3593,2472,2453,13,31,1519,618,25.0,68.8
1833,2019,20934,13251,13172,19,136,5650,5675,42.83,63.3
1834,2019,1532,1091,1086,3,12,738,264,24.2,71.2
1835,2019,350,248,250,0,4,182,99,39.92,70.8
1836,2019,981,723,721,1,5,565,335,46.33,73.7
1837,2019,5002,3201,3186,8,31,2267,1097,34.27,64.0
1838,2019,1592,1065,1054,6,9,656,295,27.7,66.9
1839,2019,874,611,610,2,9,320,167,27.33,69.9
1840,2019,3721,2560,2553,1,17,1303,609,23.79,68.8
1841,2019,7866,4979,4963,7,60,2411,1483,29.79,63.3
1845,2019,1546,1082,1076,1,11,523,353,32.62,70.0
1848,2019,1949,1329,1441,2,5,851,511,38.45,68.2
1851,2019,1719,1164,1161,4,10,637,374,32.13,67.7
1853,2019,1116,859,852,20,11,533,248,28.87,77.0
1856,2019,431,345,343,1,7,252,180,52.17,80.0
1857,2019,576,424,423,1,4,336,216,50.94,73.6
1859,2019,1058,671,676,3,7,451,164,24.44,63.4
1860,2019,8896,5293,5269,7,34,2947,1692,31.97,59.5
1865,2019,7482,4347,4321,13,24,2420,1452,33.4,58.1
1866,2019,6469,3972,3945,2,33,2143,1218,30.66,61.4
1867,2019,2172,1562,1559,2,9,911,538,34.44,71.9
1868,2019,3551,2198,2186,8,35,1223,778,35.4,61.9
1870,2019,8300,5055,5020,11,37,2479,1437,28.43,60.9
1871,2019,3860,2710,2702,10,20,1572,764,28.19,70.2
1874,2019,850,486,475,2,4,320,177,36.42,57.2
