kom2024,aar,parti,stemmer,total_stemmer_alle_partier,prosent_alle
1106,1995,03,2902,13717,21.16
1106,1995,04,1719,13717,12.53
1106,1995,05,427,13717,3.11
1106,1995,06,555,13717,4.05
1106,1995,07,1616,13717,11.78
1106,1995,08,0,13717,0.0
1106,1995,55,0,13717,0.0
1106,1999,01,2910,12534,23.22
1106,1999,02,2519,12534,20.1
1106,1999,03,3540,12534,28.24
1106,1999,04,1651,12534,13.17
1106,1999,05,228,12534,1.82
1106,1999,06,794,12534,6.33
1106,1999,07,799,12534,6.37
1106,1999,08,0,12534,0.0
1106,1999,55,0,12534,0.0
1106,2003,01,3171,13253,23.93
1106,2003,02,3313,13253,25.0
1106,2003,03,3976,13253,30.0
1106,2003,04,809,13253,6.1
1106,2003,05,213,13253,1.61
1106,2003,06,1005,13253,7.58
1106,2003,07,459,13253,3.46
1106,2003,08,0,13253,0.0
1106,2003,55,0,13253,0.0
1106,2007,01,2910,14169,20.54
1106,2007,02,1950,14169,13.76
1106,2007,03,5649,14169,39.87
1106,2007,04,807,14169,5.7
1106,2007,05,189,14169,1.33
1106,2007,06,613,14169,4.33
1106,2007,07,1293,14169,9.13
1106,2007,08,0,14169,0.0
1106,2007,55,0,14169,0.0
1106,2011,01,4450,15524,28.67
1106,2011,02,1891,15524,12.18
1106,2011,03,5933,15524,38.22
1106,2011,04,868,15524,5.59
1106,2011,05,175,15524,1.13
1106,2011,06,390,15524,2.51
1106,2011,07,843,15524,5.43
1106,2011,08,96,15524,0.62
1106,2011,55,84,15524,0.54
1106,2015,01,6286,15635,40.2
1106,2015,02,2184,15635,13.97
1106,2015,03,3490,15635,22.32
1106,2015,04,834,15635,5.33
1106,2015,05,295,15635,1.89
1106,2015,06,546,15635,3.49
1106,2015,07,768,15635,4.91
1106,2015,08,569,15635,3.64
1106,2015,55,60,15635,0.38
1106,2019,01,5382,17341,31.04
1106,2019,02,2182,17341,12.58
1106,2019,03,4828,17341,27.84
1106,2019,04,626,17341,3.61
1106,2019,05,876,17341,5.05
1106,2019,06,922,17341,5.32
1106,2019,07,515,17341,2.97
1106,2019,08,884,17341,5.1
1106,2019,55,353,17341,2.04
1106,2023,01,4033,17796,22.66
1106,2023,02,2495,17796,14.02
1106,2023,03,5407,17796,30.38
1106,2023,04,619,17796,3.48
1106,2023,05,335,17796,1.88
1106,2023,06,1253,17796,7.04
1106,2023,07,700,17796,3.93
1106,2023,08,449,17796,2.52
1106,2023,55,483,17796,2.71
1108,1987,01,5841,21823,26.77
1108,1987,02,3228,21823,14.79
1108,1987,03,5463,21823,25.03
1108,1987,04,3013,21823,13.81
1108,1987,05,1265,21823,5.8
1108,1987,06,939,21823,4.3
1108,1987,07,1713,21823,7.85
1108,1987,08,0,21823,0.0
1108,1987,55,0,21823,0.0
1108,1991,01,4900,22997,21.31
1108,1991,02,2017,22997,8.77
1108,1991,03,5117,22997,22.25
1108,1991,04,3123,22997,13.58
1108,1991,05,2708,22997,11.78
1108,1991,06,2088,22997,9.08
1108,1991,07,1195,22997,5.2
1108,1991,08,161,22997,0.7
1108,1991,55,0,22997,0.0
1108,1995,01,5141,22957,22.39
1108,1995,02,3421,22957,14.9
1108,1995,03,5384,22957,23.45
1108,1995,04,3147,22957,13.71
1108,1995,05,2195,22957,9.56
1108,1995,06,905,22957,3.94
1108,1995,07,1251,22957,5.45
1108,1995,08,87,22957,0.38
1108,1995,55,0,22957,0.0
1108,1999,01,4659,24121,19.32
1108,1999,02,4486,24121,18.6
1108,1999,03,6444,24121,26.72
1108,1999,04,3750,24121,15.55
1108,1999,05,1192,24121,4.94
1108,1999,06,1240,24121,5.14
1108,1999,07,1138,24121,4.72
1108,1999,08,0,24121,0.0
1108,1999,55,0,24121,0.0
1108,2003,01,3949,23696,16.67
1108,2003,02,5683,23696,23.98
1108,2003,03,5341,23696,22.54
1108,2003,04,2729,23696,11.52
1108,2003,05,1325,23696,5.59
1108,2003,06,2256,23696,9.52
1108,2003,07,858,23696,3.62
1108,2003,08,0,23696,0.0
1108,2003,55,0,23696,0.0
1108,2007,01,5830,27839,20.94
1108,2007,02,7293,27839,26.2
1108,2007,03,6312,27839,22.67
1108,2007,04,3417,27839,12.27
1108,2007,05,1399,27839,5.03
1108,2007,06,1139,27839,4.09
1108,2007,07,1440,27839,5.17
1108,2007,08,0,27839,0.0
1108,2007,55,0,27839,0.0
1108,2011,01,6688,30833,21.69
1108,2011,02,6868,30833,22.27
1108,2011,03,9205,30833,29.85
1108,2011,04,2989,30833,9.69
1108,2011,05,1772,30833,5.75
1108,2011,06,952,30833,3.09
1108,2011,07,1325,30833,4.3
1108,2011,08,170,30833,0.55
1108,2011,55,127,30833,0.41
1108,2015,01,11113,30998,35.85
1108,2015,02,7301,30998,23.55
1108,2015,03,4684,30998,15.11
1108,2015,04,2923,30998,9.43
1108,2015,05,1460,30998,4.71
1108,2015,06,746,30998,2.41
1108,2015,07,925,30998,2.98
1108,2015,08,876,30998,2.83
1108,2015,55,206,30998,0.66
1108,2019,01,9233,36845,25.06
1108,2019,02,6634,36845,18.01
1108,2019,03,6010,36845,16.31
1108,2019,04,2728,36845,7.4
1108,2019,05,2553,36845,6.93
1108,2019,06,1649,36845,4.48
1108,2019,07,911,36845,2.47
1108,2019,08,1900,36845,5.16
1108,2019,55,841,36845,2.28
1108,2023,01,5813,36979,15.72
1108,2023,02,8665,36979,23.43
1108,2023,03,9306,36979,25.17
1108,2023,04,3192,36979,8.63
1108,2023,05,1478,36979,4.0
1108,2023,06,1880,36979,5.08
1108,2023,07,1276,36979,3.45
1108,2023,08,1078,36979,2.92
1108,2023,55,1078,36979,2.92
1111,1987,01,612,1920,31.87
1111,1987,02,212,1920,11.04
1111,1987,03,397,1920,20.68
1111,1987,04,460,1920,23.96
1111,1987,05,139,1920,7.24
1111,1987,06,0,1920,0.0
1111,1987,07,100,1920,5.21
1111,1987,08,0,1920,0.0
1111,1987,55,0,1920,0.0
1111,1991,01,485,1841,26.34
1111,1991,02,150,1841,8.15
1111,1991,03,288,1841,15.64
1111,1991,04,380,1841,20.64
1111,1991,05,264,1841,14.34
1111,1991,06,0,1841,0.0
1111,1991,07,142,1841,7.71
1111,1991,08,0,1841,0.0
1111,1991,55,0,1841,0.0
1111,1995,01,463,1748,26.49
1111,1995,02,253,1748,14.47
1111,1995,03,228,1748,13.04
1111,1995,04,362,1748,20.71
1111,1995,05,221,1748,12.64
1111,1995,06,0,1748,0.0
1111,1995,07,113,1748,6.46
1111,1995,08,0,1748,0.0
1111,1995,55,0,1748,0.0
1111,1999,01,510,1593,32.02
1111,1999,02,318,1593,19.96
1111,1999,03,161,1593,10.11
1111,1999,04,324,1593,20.34
1111,1999,05,146,1593,9.17
1111,1999,06,0,1593,0.0
1111,1999,07,134,1593,8.41
1111,1999,08,0,1593,0.0
1111,1999,55,0,1593,0.0
1111,2003,01,441,1587,27.79
1111,2003,02,459,1587,28.92
1111,2003,03,149,1587,9.39
1111,2003,04,236,1587,14.87
1111,2003,05,127,1587,8.0
1111,2003,06,69,1587,4.35
1111,2003,07,106,1587,6.68
1111,2003,08,0,1587,0.0
1111,2003,55,0,1587,0.0
1111,2007,01,512,1610,31.8
1111,2007,02,457,1610,28.39
1111,2007,03,129,1610,8.01
1111,2007,04,257,1610,15.96
1111,2007,05,96,1610,5.96
1111,2007,06,24,1610,1.49
1111,2007,07,135,1610,8.39
1111,2007,08,0,1610,0.0
1111,2007,55,0,1610,0.0
1111,2011,01,516,1721,29.98
1111,2011,02,319,1721,18.54
1111,2011,03,322,1721,18.71
1111,2011,04,337,1721,19.58
1111,2011,05,99,1721,5.75
1111,2011,06,0,1721,0.0
1111,2011,07,128,1721,7.44
1111,2011,08,0,1721,0.0
1111,2011,55,0,1721,0.0
1111,2015,01,519,1607,32.3
1111,2015,02,175,1607,10.89
1111,2015,03,204,1607,12.69
1111,2015,04,446,1607,27.75
1111,2015,05,117,1607,7.28
1111,2015,06,0,1607,0.0
1111,2015,07,146,1607,9.09
1111,2015,08,0,1607,0.0
1111,2015,55,0,1607,0.0
1111,2019,01,400,1822,21.95
1111,2019,02,164,1822,9.0
1111,2019,03,209,1822,11.47
1111,2019,04,478,1822,26.23
1111,2019,05,215,1822,11.8
1111,2019,06,0,1822,0.0
1111,2019,07,126,1822,6.92
1111,2019,08,0,1822,0.0
1111,2019,55,0,1822,0.0
1111,2023,01,353,1768,19.97
1111,2023,02,248,1768,14.03
1111,2023,03,182,1768,10.29
1111,2023,04,511,1768,28.9
1111,2023,05,234,1768,13.24
1111,2023,06,0,1768,0.0
1111,2023,07,179,1768,10.12
1111,2023,08,0,1768,0.0
1111,2023,55,61,1768,3.45
1112,1987,01,416,1647,25.26
1112,1987,02,144,1647,8.74
