kom2024,enhet,enhet_navn,n_kommuner
1576,E1576,Aure + Indre Fosen + Heim + Hitra + Ørland + Orkland,6
5054,E1576,Aure + Indre Fosen + Heim + Hitra + Ørland + Orkland,6
5055,E1576,Aure + Indre Fosen + Heim + Hitra + Ørland + Orkland,6
5056,E1576,Aure + Indre Fosen + Heim + Hitra + Ørland + Orkland,6
5057,E1576,Aure + Indre Fosen + Heim + Hitra + Ørland + Orkland,6
5059,E1576,Aure + Indre Fosen + Heim + Hitra + Ørland + Orkland,6
1577,E1577,Volda + Kinn + Askvoll + Sunnfjord + Bremanger + Stad + Stryn,7
4602,E1577,Volda + Kinn + Askvoll + Sunnfjord + Bremanger + Stad + Stryn,7
4645,E1577,Volda + Kinn + Askvoll + Sunnfjord + Bremanger + Stad + Stryn,7
4647,E1577,Volda + Kinn + Askvoll + Sunnfjord + Bremanger + Stad + Stryn,7
4648,E1577,Volda + Kinn + Askvoll + Sunnfjord + Bremanger + Stad + Stryn,7
4649,E1577,Volda + Kinn + Askvoll + Sunnfjord + Bremanger + Stad + Stryn,7
4651,E1577,Volda + Kinn + Askvoll + Sunnfjord + Bremanger + Stad + Stryn,7
1804,E1804,Bodø + Sørfold - Fuolldá + Steigen,3
1845,E1804,Bodø + Sørfold - Fuolldá + Steigen,3
1848,E1804,Bodø + Sørfold - Fuolldá + Steigen,3
1806,E1806,Narvik + Lødingen + Hábmer - Hamarøy,3
1851,E1806,Narvik + Lødingen + Hábmer - Hamarøy,3
1875,E1806,Narvik + Lødingen + Hábmer - Hamarøy,3
1811,E1811,Bindal + Sømna + Brønnøy,3
1812,E1811,Bindal + Sømna + Brønnøy,3
1813,E1811,Bindal + Sømna + Brønnøy,3
1815,E1815,Vega + Herøy (Nordland) + Alstahaug,3
1818,E1815,Vega + Herøy (Nordland) + Alstahaug,3
1820,E1815,Vega + Herøy (Nordland) + Alstahaug,3
1822,E1822,Leirfjord + Nesna + Hemnes + Rana - Raane,4
1828,E1822,Leirfjord + Nesna + Hemnes + Rana - Raane,4
1832,E1822,Leirfjord + Nesna + Hemnes + Rana - Raane,4
1833,E1822,Leirfjord + Nesna + Hemnes + Rana - Raane,4
1859,E1859,Flakstad + Moskenes,2
1874,E1859,Flakstad + Moskenes,2
1866,E1866,Hadsel + Sortland - Suortá,2
1870,E1866,Hadsel + Sortland - Suortá,2
3301,E3301,Drammen + Lier,2
3312,E3301,Drammen + Lier,2
3303,E3303,Kongsberg + Notodden,2
4005,E3303,Kongsberg + Notodden,2
3305,E3305,Ringerike + Hole,2
3310,E3305,Ringerike + Hole,2
3426,E3426,Tolga + Os,2
3430,E3426,Tolga + Os,2
3427,E3427,Tynset + Rennebu,2
5022,E3427,Tynset + Rennebu,2
3436,E3436,Nord-Fron + Sør-Fron,2
3438,E3436,Nord-Fron + Sør-Fron,2
3447,E3447,Søndre Land + Nordre Land,2
3448,E3447,Søndre Land + Nordre Land,2
4003,E4003,Skien + Nome,2
4018,E4003,Skien + Nome,2
4205,E4205,Lindesnes + Lyngdal,2
4225,E4205,Lindesnes + Lyngdal,2
4207,E4207,Flekkefjord + Sirdal,2
4228,E4207,Flekkefjord + Sirdal,2
4601,E4601,Bergen + Voss + Øygarden + Askøy + Vaksdal + Modalen + Osterøy + Alver,8
4621,E4601,Bergen + Voss + Øygarden + Askøy + Vaksdal + Modalen + Osterøy + Alver,8
4626,E4601,Bergen + Voss + Øygarden + Askøy + Vaksdal + Modalen + Osterøy + Alver,8
4627,E4601,Bergen + Voss + Øygarden + Askøy + Vaksdal + Modalen + Osterøy + Alver,8
4628,E4601,Bergen + Voss + Øygarden + Askøy + Vaksdal + Modalen + Osterøy + Alver,8
4629,E4601,Bergen + Voss + Øygarden + Askøy + Vaksdal + Modalen + Osterøy + Alver,8
4630,E4601,Bergen + Voss + Øygarden + Askøy + Vaksdal + Modalen + Osterøy + Alver,8
4631,E4601,Bergen + Voss + Øygarden + Askøy + Vaksdal + Modalen + Osterøy + Alver,8
4611,E4611,Etne + Kvinnherad + Ullensvang + Eidfjord + Kvam,5
4617,E4611,Etne + Kvinnherad + Ullensvang + Eidfjord + Kvam,5
4618,E4611,Etne + Kvinnherad + Ullensvang + Eidfjord + Kvam,5
4619,E4611,Etne + Kvinnherad + Ullensvang + Eidfjord + Kvam,5
4622,E4611,Etne + Kvinnherad + Ullensvang + Eidfjord + Kvam,5
4615,E4615,Fitjar + Austevoll,2
4625,E4615,Fitjar + Austevoll,2
4639,E4639,Vik + Sogndal,2
4640,E4639,Vik + Sogndal,2
5046,E5046,Høylandet + Nærøysund,2
5060,E5046,Høylandet + Nærøysund,2
5501,E5501,Tromsø + Harstad - Hárstták + Dyrøy + Senja + Karlsøy + Lyngen - Ivgu - Yykeä,6
5503,E5501,Tromsø + Harstad - Hárstták + Dyrøy + Senja + Karlsøy + Lyngen - Ivgu - Yykeä,6
5528,E5501,Tromsø + Harstad - Hárstták + Dyrøy + Senja + Karlsøy + Lyngen - Ivgu - Yykeä,6
5530,E5501,Tromsø + Harstad - Hárstták + Dyrøy + Senja + Karlsøy + Lyngen - Ivgu - Yykeä,6
5534,E5501,Tromsø + Harstad - Hárstták + Dyrøy + Senja + Karlsøy + Lyngen - Ivgu - Yykeä,6
5536,E5501,Tromsø + Harstad - Hárstták + Dyrøy + Senja + Karlsøy + Lyngen - Ivgu - Yykeä,6
5518,E5518,Loabák - Lavangen + Salangen,2
5522,E5518,Loabák - Lavangen + Salangen,2
5524,E5524,Målselv + Balsfjord,2
5532,E5524,Målselv + Balsfjord,2
5542,E5542,Skjervøy + Nordreisa - Ráisa - Raisi,2
5544,E5542,Skjervøy + Nordreisa - Ráisa - Raisi,2
5632,E5632,Båtsfjord + Vardø,2
5634,E5632,Båtsfjord + Vardø,2
