kom2024,navn,aar,parti,stemmer,total_stemmer,prosent
1119,Hå,2009,03,1140,8258,13.8
1119,Hå,2009,04,1812,8258,21.94
1119,Hå,2009,05,1168,8258,14.14
1119,Hå,2009,06,244,8258,2.95
1119,Hå,2009,07,161,8258,1.95
1119,Hå,2009,08,18,8258,0.22
1119,Hå,2009,55,7,8258,0.08
1119,Hå,2013,01,1348,8894,15.16
1119,Hå,2013,02,1773,8894,19.93
1119,Hå,2013,03,2185,8894,24.57
1119,Hå,2013,04,1805,8894,20.29
1119,Hå,2013,05,1316,8894,14.8
1119,Hå,2013,06,168,8894,1.89
1119,Hå,2013,07,175,8894,1.97
1119,Hå,2013,08,106,8894,1.19
1119,Hå,2013,55,18,8894,0.2
1119,Hå,2017,01,1321,9507,13.9
1119,Hå,2017,02,2228,9507,23.44
1119,Hå,2017,03,2279,9507,23.97
1119,Hå,2017,04,1651,9507,17.37
1119,Hå,2017,05,1504,9507,15.82
1119,Hå,2017,06,222,9507,2.34
1119,Hå,2017,07,126,9507,1.33
1119,Hå,2017,08,124,9507,1.3
1119,Hå,2017,55,52,9507,0.55
1119,Hå,2021,01,1397,9646,14.48
1119,Hå,2021,02,1992,9646,20.65
1119,Hå,2021,03,1734,9646,17.98
1119,Hå,2021,04,1706,9646,17.69
1119,Hå,2021,05,2133,9646,22.11
1119,Hå,2021,06,258,9646,2.67
1119,Hå,2021,07,122,9646,1.26
1119,Hå,2021,08,100,9646,1.04
1119,Hå,2021,55,204,9646,2.11
1119,Hå,2025,01,1626,10309,15.77
1119,Hå,2025,02,3569,10309,34.62
1119,Hå,2025,03,1151,10309,11.17
1119,Hå,2025,04,1931,10309,18.73
1119,Hå,2025,05,1219,10309,11.82
1119,Hå,2025,06,263,10309,2.55
1119,Hå,2025,07,99,10309,0.96
1119,Hå,2025,08,97,10309,0.94
1119,Hå,2025,55,354,10309,3.43
1120,Klepp,1989,01,2742,8438,32.5
1120,Klepp,1989,02,1174,8438,13.91
1120,Klepp,1989,03,1532,8438,18.16
1120,Klepp,1989,04,1106,8438,13.11
1120,Klepp,1989,05,1284,8438,15.22
1120,Klepp,1989,06,319,8438,3.78
1120,Klepp,1989,07,271,8438,3.21
1120,Klepp,1989,08,10,8438,0.12
1120,Klepp,1993,01,1528,6724,22.72
1120,Klepp,1993,02,533,6724,7.93
1120,Klepp,1993,03,998,6724,14.84
1120,Klepp,1993,04,979,6724,14.56
1120,Klepp,1993,05,2205,6724,32.79
1120,Klepp,1993,06,248,6724,3.69
1120,Klepp,1993,07,227,6724,3.38
1120,Klepp,1993,08,6,6724,0.09
1120,Klepp,1997,01,1567,7406,21.16
1120,Klepp,1997,02,1405,7406,18.97
1120,Klepp,1997,03,1018,7406,13.75
1120,Klepp,1997,04,1729,7406,23.35
1120,Klepp,1997,05,1094,7406,14.77
1120,Klepp,1997,06,190,7406,2.57
1120,Klepp,1997,07,398,7406,5.37
1120,Klepp,1997,08,5,7406,0.07
1120,Klepp,2001,01,986,7313,13.48
1120,Klepp,2001,02,1503,7313,20.55
1120,Klepp,2001,03,1514,7313,20.7
1120,Klepp,2001,04,1750,7313,23.93
1120,Klepp,2001,05,741,7313,10.13
1120,Klepp,2001,06,438,7313,5.99
1120,Klepp,2001,07,376,7313,5.14
1120,Klepp,2001,08,5,7313,0.07
1120,Klepp,2005,01,1398,7651,18.27
1120,Klepp,2005,02,2289,7651,29.92
1120,Klepp,2005,03,1077,7651,14.08
1120,Klepp,2005,04,1174,7651,15.34
1120,Klepp,2005,05,888,7651,11.61
1120,Klepp,2005,06,321,7651,4.2
1120,Klepp,2005,07,490,7651,6.4
1120,Klepp,2005,08,14,7651,0.18
1120,Klepp,2009,01,1643,8475,19.39
1120,Klepp,2009,02,2605,8475,30.74
1120,Klepp,2009,03,1534,8475,18.1
1120,Klepp,2009,04,1205,8475,14.22
1120,Klepp,2009,05,930,8475,10.97
