kom2024,medianinntekt_2021,medianinntekt_2024,antall_25_44_2021
4018,533000.0,633700.0,1371
4020,533000.0,618900.0,2656
4026,514000.0,614100.0,1086
4024,559000.0,670900.0,288
4022,536000.0,635100.0,631
4028,539000.0,643000.0,499
4030,556000.0,663800.0,292
4032,519000.0,625400.0,245
4034,542000.0,646400.0,411
4036,554000.0,635900.0,854
4201,519000.0,611600.0,1348
4202,566000.0,676700.0,6184
4203,538000.0,642800.0,10914
4204,554000.0,657200.0,30460
4205,554000.0,654400.0,5395
4206,562000.0,668600.0,2131
4207,568000.0,667500.0,2041
4211,504000.0,600300.0,516
4212,552000.0,673200.0,509
4213,540000.0,628000.0,1354
4214,577000.0,694000.0,1635
4215,614000.0,724800.0,2715
4216,590000.0,690700.0,1352
4217,509000.0,606500.0,404
4218,578000.0,677100.0,341
4219,524000.0,628800.0,908
4220,515000.0,603600.0,234
4221,571000.0,695600.0,245
4222,525000.0,588400.0,256
4223,549000.0,656300.0,4099
4224,580000.0,687100.0,193
4225,566000.0,681600.0,2565
4226,630000.0,729600.0,419
4227,553000.0,662900.0,1390
4228,626000.0,701200.0,414
1101,604000.0,707300.0,3674
1103,609000.0,732600.0,42159
1106,526000.0,636300.0,10134
1108,636000.0,756600.0,23732
1111,584000.0,691500.0,740
1112,594000.0,700800.0,709
1114,681000.0,842900.0,674
1119,622000.0,744100.0,5137
1120,655000.0,790400.0,5632
1121,635000.0,772500.0,5383
1122,685000.0,806800.0,3460
1124,692000.0,838300.0,7976
1127,679000.0,811500.0,2861
1130,638000.0,747600.0,3374
1133,628000.0,733500.0,569
1134,622000.0,733000.0,811
1135,565000.0,670600.0,1040
1144,697000.0,793300.0,91
1145,622000.0,763000.0,183
1146,661000.0,781700.0,2755
1149,611000.0,737500.0,10692
1151,643000.0,732700.0,39
1160,602000.0,715400.0,2157
4601,553000.0,671700.0,86063
4602,601000.0,706500.0,4012
4611,586000.0,717600.0,894
4612,625000.0,742900.0,1459
4613,645000.0,755900.0,2853
4614,606000.0,736800.0,4765
4615,645000.0,774700.0,751
4616,568000.0,665600.0,643
4617,605000.0,708500.0,2715
4618,560000.0,685300.0,2363
4619,591000.0,708000.0,197
4620,568000.0,700300.0,217
4621,575000.0,708700.0,3747
4622,600000.0,720100.0,1855
4623,612000.0,744000.0,579
4624,648000.0,771700.0,6539
4625,699000.0,822100.0,1327
4626,658000.0,778200.0,10083
4627,687000.0,826600.0,7864
4628,556000.0,655500.0,920
4629,615000.0,628400.0,86
4630,597000.0,710700.0,1957
4631,629000.0,754100.0,7174
4632,614000.0,740200.0,653
4633,545000.0,685200.0,84
4634,629000.0,743500.0,324
4635,568000.0,682200.0,475
4636,606000.0,720900.0,161
4637,512000.0,604200.0,233
4638,559000.0,651100.0,782
4639,582000.0,687200.0,513
4640,608000.0,715100.0,3222
