kom2024,sent_klasse,sent_indeks,sent_navn,sent_gammel_0_3,gammel_konflikt
3434,6,547,Sentralitet: 6 (0-564) - lav,0,False
3435,5,610,Sentralitet: 5 (565-669),0,False
3436,5,629,Sentralitet: 5 (565-669),0,False
3437,5,627,Sentralitet: 5 (565-669),0,False
3438,5,615,Sentralitet: 5 (565-669),2,False
3439,5,647,Sentralitet: 5 (565-669),2,False
3440,4,698,Sentralitet: 4 (670-774),2,False
3441,4,673,Sentralitet: 4 (670-774),2,False
3442,4,747,Sentralitet: 4 (670-774),2,False
3443,3,789,Sentralitet: 3 (775-869),2,False
3446,3,801,Sentralitet: 3 (775-869),3,False
3447,4,692,Sentralitet: 4 (670-774),2,False
3448,4,695,Sentralitet: 4 (670-774),2,False
3449,5,581,Sentralitet: 5 (565-669),0,False
3450,5,587,Sentralitet: 5 (565-669),2,False
3451,4,686,Sentralitet: 4 (670-774),0,False
3452,5,583,Sentralitet: 5 (565-669),0,False
3453,5,602,Sentralitet: 5 (565-669),0,False
3454,6,541,Sentralitet: 6 (0-564) - lav,0,False
3901,2,874,Sentralitet: 2 (870-924),3,False
3903,3,837,Sentralitet: 3 (775-869),3,False
3905,2,879,Sentralitet: 2 (870-924),3,False
3907,3,861,Sentralitet: 3 (775-869),3,False
3909,3,842,Sentralitet: 3 (775-869),2,True
3911,3,846,Sentralitet: 3 (775-869),3,True
4001,3,855,Sentralitet: 3 (775-869),2,False
4003,3,849,Sentralitet: 3 (775-869),2,False
4005,4,774,Sentralitet: 4 (670-774),2,False
4010,4,739,Sentralitet: 4 (670-774),2,False
4012,3,786,Sentralitet: 3 (775-869),2,False
4014,4,755,Sentralitet: 4 (670-774),2,False
4016,5,645,Sentralitet: 5 (565-669),2,False
4018,4,709,Sentralitet: 4 (670-774),2,False
4020,4,731,Sentralitet: 4 (670-774),2,False
4022,5,650,Sentralitet: 5 (565-669),0,False
4024,5,599,Sentralitet: 5 (565-669),2,False
4026,5,595,Sentralitet: 5 (565-669),0,False
4028,5,601,Sentralitet: 5 (565-669),0,False
4030,6,543,Sentralitet: 6 (0-564) - lav,0,False
4032,6,491,Sentralitet: 6 (0-564) - lav,0,False
4034,6,533,Sentralitet: 6 (0-564) - lav,0,False
4036,6,550,Sentralitet: 6 (0-564) - lav,0,False
