kom2024,navn,aar,parti,stemmer,total_stemmer,prosent,sum_9parti,prosent_9parti,dekning,estimert
1151,Utsira,1987,04,0,148,0.0,68,0.0,1.0,False
1151,Utsira,1987,05,0,148,0.0,68,0.0,1.0,False
1151,Utsira,1987,06,0,148,0.0,68,0.0,1.0,False
1151,Utsira,1987,07,0,148,0.0,68,0.0,1.0,False
1151,Utsira,1987,08,0,148,0.0,68,0.0,1.0,False
1151,Utsira,1987,55,0,148,0.0,68,0.0,1.0,False
1151,Utsira,1987,99,80,148,54.05,68,,1.0,False
1160,Vindafjord,1987,01,387,4159,9.31,1879,20.6,1.0,False
1160,Vindafjord,1987,02,106,4159,2.55,1879,5.64,1.0,False
1160,Vindafjord,1987,03,542,4159,13.03,1879,28.85,1.0,False
1160,Vindafjord,1987,04,455,4159,10.94,1879,24.22,1.0,False
1160,Vindafjord,1987,05,140,4159,3.37,1879,7.45,1.0,False
1160,Vindafjord,1987,06,74,4159,1.78,1879,3.94,1.0,False
1160,Vindafjord,1987,07,175,4159,4.21,1879,9.31,1.0,False
1160,Vindafjord,1987,08,0,4159,0.0,1879,0.0,1.0,False
1160,Vindafjord,1987,55,0,4159,0.0,1879,0.0,1.0,False
1160,Vindafjord,1987,99,2280,4159,54.82,1879,,1.0,False
1505,Kristiansund,1987,01,5269,11222,46.95,10914,48.28,1.0,False
1505,Kristiansund,1987,02,775,11222,6.91,10914,7.1,1.0,False
1505,Kristiansund,1987,03,2496,11222,22.24,10914,22.87,1.0,False
1505,Kristiansund,1987,04,695,11222,6.19,10914,6.37,1.0,False
1505,Kristiansund,1987,05,194,11222,1.73,10914,1.78,1.0,False
1505,Kristiansund,1987,06,360,11222,3.21,10914,3.3,1.0,False
1505,Kristiansund,1987,07,926,11222,8.25,10914,8.48,1.0,False
1505,Kristiansund,1987,08,0,11222,0.0,10914,0.0,1.0,False
1505,Kristiansund,1987,55,199,11222,1.77,10914,1.82,1.0,False
1505,Kristiansund,1987,99,308,11222,2.74,10914,,1.0,False
1506,Molde,1987,01,4185,13525,30.94,13426,31.17,1.0,False
1506,Molde,1987,02,1422,13525,10.51,13426,10.59,1.0,False
1506,Molde,1987,03,2729,13525,20.18,13426,20.33,1.0,False
1506,Molde,1987,04,2014,13525,14.89,13426,15.0,1.0,False
1506,Molde,1987,05,1200,13525,8.87,13426,8.94,1.0,False
1506,Molde,1987,06,827,13525,6.11,13426,6.16,1.0,False
1506,Molde,1987,07,840,13525,6.21,13426,6.26,1.0,False
1506,Molde,1987,08,0,13525,0.0,13426,0.0,1.0,False
1506,Molde,1987,55,209,13525,1.55,13426,1.56,1.0,False
1506,Molde,1987,99,99,13525,0.73,13426,,1.0,False
1508,Ålesund,1987,01,5437,21239,25.6,19775,27.49,1.0,False
1508,Ålesund,1987,02,3782,21239,17.81,19775,19.13,1.0,False
1508,Ålesund,1987,03,5341,21239,25.15,19775,27.01,1.0,False
1508,Ålesund,1987,04,2760,21239,12.99,19775,13.96,1.0,False
1508,Ålesund,1987,05,868,21239,4.09,19775,4.39,1.0,False
1508,Ålesund,1987,06,915,21239,4.31,19775,4.63,1.0,False
1508,Ålesund,1987,07,399,21239,1.88,19775,2.02,1.0,False
1508,Ålesund,1987,08,0,21239,0.0,19775,0.0,1.0,False
1508,Ålesund,1987,55,273,21239,1.29,19775,1.38,1.0,False
1508,Ålesund,1987,99,1464,21239,6.89,19775,,1.0,False
1511,Vanylven,1987,01,563,1848,30.47,1848,30.47,1.0,False
1511,Vanylven,1987,02,0,1848,0.0,1848,0.0,1.0,False
1511,Vanylven,1987,03,310,1848,16.77,1848,16.77,1.0,False
1511,Vanylven,1987,04,348,1848,18.83,1848,18.83,1.0,False
1511,Vanylven,1987,05,375,1848,20.29,1848,20.29,1.0,False
1511,Vanylven,1987,06,0,1848,0.0,1848,0.0,1.0,False
1511,Vanylven,1987,07,252,1848,13.64,1848,13.64,1.0,False
1511,Vanylven,1987,08,0,1848,0.0,1848,0.0,1.0,False
1511,Vanylven,1987,55,0,1848,0.0,1848,0.0,1.0,False
1511,Vanylven,1987,99,0,1848,0.0,1848,,1.0,False
1514,Sande,1987,01,260,1772,14.67,1172,22.18,1.0,False
1514,Sande,1987,02,0,1772,0.0,1172,0.0,1.0,False
1514,Sande,1987,03,305,1772,17.21,1172,26.02,1.0,False
1514,Sande,1987,04,320,1772,18.06,1172,27.3,1.0,False
1514,Sande,1987,05,100,1772,5.64,1172,8.53,1.0,False
1514,Sande,1987,06,53,1772,2.99,1172,4.52,1.0,False
1514,Sande,1987,07,134,1772,7.56,1172,11.43,1.0,False
1514,Sande,1987,08,0,1772,0.0,1172,0.0,1.0,False
1514,Sande,1987,55,0,1772,0.0,1172,0.0,1.0,False
1514,Sande,1987,99,600,1772,33.86,1172,,1.0,False
1515,Herøy (Møre og Romsdal),1987,01,902,3795,23.77,3154,28.6,1.0,False
1515,Herøy (Møre og Romsdal),1987,02,0,3795,0.0,3154,0.0,1.0,False
1515,Herøy (Møre og Romsdal),1987,03,737,3795,19.42,3154,23.37,1.0,False
