kode,aar,befolkning
0124,1982,12302
0124,1983,12451
0124,1984,12522
0124,1985,12500
0124,1986,12605
0124,1987,12766
0124,1988,12854
0124,1989,12903
0124,1990,12869
0125,1951,6151
0125,1952,6141
0125,1953,6199
0125,1954,6154
0125,1955,6107
0125,1956,6144
0125,1957,6192
0125,1958,6233
0125,1959,6239
0125,1960,6180
0125,1961,8718
0125,1962,8747
0125,1963,8812
0125,1964,8822
0125,1965,8830
0125,1966,8853
0125,1967,8814
0125,1968,8790
0125,1969,8872
0125,1970,8821
0125,1971,8846
0125,1972,8884
0125,1973,8841
0125,1974,8863
0125,1975,8853
0125,1976,8796
0125,1977,8827
0125,1978,9011
0125,1979,9128
0125,1980,9099
0125,1981,9014
0125,1982,9020
0125,1983,9012
0125,1984,9088
0125,1985,9163
0125,1986,9184
0125,1987,9157
0125,1988,9188
0125,1989,9276
0125,1990,9280
0126,1951,2516
0126,1952,2533
0126,1953,2563
0126,1954,2569
0126,1955,2570
0126,1956,2576
0126,1957,2558
0126,1958,2514
0126,1959,2524
0126,1960,2507
0127,1951,2627
0127,1952,2632
0127,1953,2676
0127,1954,2697
0127,1955,2685
0127,1956,2703
0127,1957,2669
0127,1958,2675
0127,1959,2624
0127,1960,2593
0127,1961,2545
0127,1962,2501
0127,1963,2423
0127,1964,2423
0127,1965,2423
0127,1966,2423
0127,1967,2450
0127,1968,2462
0127,1969,2439
0127,1970,2443
0127,1971,2413
0127,1972,2458
0127,1973,2470
0127,1974,2513
0127,1975,2507
0127,1976,2556
0127,1977,2673
0127,1978,2738
0127,1979,2806
0127,1980,2859
0127,1981,3025
0127,1982,3135
0127,1983,3163
0127,1984,3155
0127,1985,3119
0127,1986,3124
0127,1987,3140
0127,1988,3160
0127,1989,3168
0127,1990,3156
0128,1951,5668
0128,1952,5714
0128,1953,5752
0128,1954,5645
0128,1955,5611
0128,1956,5484
0128,1957,5480
0128,1958,5447
0128,1959,5400
0128,1960,5353
0128,1961,5288
0128,1962,5284
0128,1963,5318
0128,1964,6959
0128,1965,6894
