kom2024,parti,aar,stemmer
0301,06,2017,34052
0301,06,2021,50382
0301,06,2025,45181
0301,07,1989,7963
0301,07,1993,9518
0301,07,1997,12460
0301,07,2001,17139
0301,07,2005,28639
0301,07,2009,20784
0301,07,2013,28619
0301,07,2017,30933
0301,07,2021,38142
0301,07,2025,30643
0301,100,2005,215
0301,130,2017,314
0301,150,2021,232
0301,122,2005,248
0301,122,2013,236
0301,122,2017,326
0301,122,2021,2585
0301,122,2025,1828
0301,157,2025,712
0301,13,1993,1279
0301,13,1997,360
0301,13,2001,159
0301,16,1993,52
0301,131,2017,326
0301,131,2021,275
0301,151,2021,1072
0301,24,1989,52
0301,17,1993,151
0301,158,2025,2063
0301,15,1989,7543
0301,154,2025,1721
0301,26,1997,171
0301,152,2021,234
0301,152,2025,802
0301,48,2001,213
0301,48,2005,117
0301,48,2009,292
0301,48,2013,97
0301,44,2001,902
0301,44,2005,551
0301,44,2009,145
0301,44,2013,126
0301,44,2021,64
0301,123,2013,734
0301,123,2017,343
0301,123,2021,474
0301,123,2025,704
0301,12,1989,110
0301,12,1993,143
0301,12,1997,56
0301,12,2001,40
0301,12,2005,104
0301,12,2009,170
0301,12,2013,267
0301,133,2017,667
0301,133,2021,665
0301,20,1993,375
0301,20,1997,230
0301,20,2001,87
0301,09,1997,184
0301,09,2001,189
0301,09,2005,141
0301,09,2009,115
0301,09,2013,143
0301,09,2017,119
0301,09,2021,123
0301,49,2001,103
0301,159,2025,202
0301,153,2021,1367
0301,153,2025,1295
0301,10,1989,1770
0301,10,1993,5008
0301,10,1997,2729
0301,10,2001,1811
0301,10,2005,1346
0301,10,2009,1146
0301,10,2013,1172
0301,10,2017,1335
0301,10,2021,1312
0301,10,2025,1589
0301,124,2013,1357
0301,124,2017,630
0301,124,2021,336
0301,46,2001,3719
0301,160,2025,2361
0301,28,1997,281
0301,11,1993,14266
0301,11,1997,11766
0301,11,2001,8574
0301,11,2005,9277
0301,21,1993,95
0301,21,1997,125
0301,21,2013,70
0301,21,2017,104
0301,22,1993,1468
0301,47,2001,55
0301,14,1989,2636
0301,27,1997,45
0301,27,2001,73
0301,132,2017,1184
0301,132,2021,593
0301,132,2025,486
0301,92,1993,1828
0301,92,2001,600
0301,92,2009,547
3301,01,2025,17214
3301,02,2025,15013
3301,03,2025,9245
3301,04,2025,1545
3301,08,2025,2368
3301,55,2025,2647
3301,05,2025,1179
3301,06,2025,3004
3301,07,2025,2032
3301,122,2025,457
3301,158,2025,162
3301,154,2025,347
3301,152,2025,232
3301,123,2025,231
3301,159,2025,97
3301,153,2025,398
3301,10,2025,419
3301,132,2025,74
3303,01,2025,5486
3303,02,2025,4097
3303,03,2025,2516
3303,04,2025,419
3303,08,2025,721
3303,55,2025,657
3303,05,2025,886
3303,06,2025,758
3303,07,2025,596
3303,122,2025,152
3303,158,2025,62
3303,154,2025,109
3303,152,2025,127
3303,123,2025,71
3303,159,2025,29
3303,153,2025,16
3303,10,2025,113
3303,132,2025,42
3305,01,2025,5501
3305,02,2025,5289
3305,03,2025,2464
3305,04,2025,430
3305,08,2025,530
3305,55,2025,883
3305,05,2025,934
3305,06,2025,721
3305,07,2025,434
3305,122,2025,151
3305,158,2025,38
3305,154,2025,155
3305,152,2025,208
3305,123,2025,44
3305,159,2025,24
3305,153,2025,16
3305,10,2025,233
3305,132,2025,28
3310,01,2025,969
3310,02,2025,1016
3310,03,2025,930
3310,04,2025,156
3310,08,2025,149
3310,55,2025,138
3310,05,2025,199
3310,06,2025,153
3310,07,2025,154
3310,122,2025,50
3310,158,2025,7
3310,154,2025,32
3310,152,2025,29
3310,123,2025,7
3310,159,2025,5
3310,153,2025,4
3310,10,2025,29
3310,132,2025,10
3312,01,2025,4440
3312,02,2025,4228
3312,03,2025,3214
3312,04,2025,365
3312,08,2025,714
3312,55,2025,524
3312,05,2025,560
3312,06,2025,642
3312,07,2025,651
3312,122,2025,109
3312,158,2025,35
3312,154,2025,92
3312,152,2025,58
3312,123,2025,47
3312,159,2025,16
3312,153,2025,54
3312,10,2025,80
3312,132,2025,27
3314,01,2025,3115
3314,02,2025,4027
3314,03,2025,1459
3314,04,2025,509
3314,08,2025,267
3314,55,2025,339
3314,05,2025,750
3314,06,2025,393
3314,07,2025,266
3314,122,2025,144
3314,158,2025,35
3314,154,2025,87
3314,152,2025,78
3314,123,2025,85
3314,159,2025,33
3314,153,2025,16
3314,10,2025,78
3314,132,2025,27
3316,01,2025,2498
3316,02,2025,2838
3316,03,2025,851
3316,04,2025,170
3316,08,2025,208
3316,55,2025,342
3316,05,2025,664
3316,06,2025,243
3316,07,2025,144
3316,122,2025,103
3316,158,2025,14
3316,154,2025,69
3316,152,2025,48
3316,123,2025,31
3316,159,2025,18
3316,153,2025,15
3316,10,2025,50
3316,132,2025,14
3318,01,2025,366
3318,02,2025,395
3318,03,2025,163
3318,04,2025,21
3318,08,2025,19
3318,55,2025,42
3318,05,2025,149
3318,06,2025,34
3318,07,2025,14
3318,122,2025,20
3318,158,2025,2
3318,154,2025,4
3318,152,2025,11
3318,123,2025,2
3318,159,2025,3
3318,153,2025,3
3318,10,2025,14
3320,01,2025,167
3320,02,2025,188
3320,03,2025,76
3320,04,2025,16
3320,08,2025,5
3320,55,2025,20
3320,05,2025,108
3320,06,2025,14
3320,07,2025,7
3320,122,2025,5
3320,158,2025,4
3320,154,2025,7
3320,152,2025,3
3320,123,2025,1
3320,159,2025,2
3320,10,2025,8
3320,132,2025,1
3322,01,2025,636
3322,02,2025,415
3322,03,2025,241
3322,04,2025,70
3322,08,2025,30
3322,55,2025,75
3322,05,2025,263
3322,06,2025,51
3322,07,2025,34
3322,122,2025,14
3322,158,2025,4
3322,154,2025,13
3322,152,2025,11
3322,123,2025,21
3322,159,2025,2
3322,153,2025,1
3322,10,2025,19
3322,132,2025,4
3324,01,2025,720
3324,02,2025,752
3324,03,2025,420
3324,04,2025,85
3324,08,2025,52
3324,55,2025,80
3324,05,2025,321
3324,06,2025,102
3324,07,2025,58
3324,122,2025,25
3324,158,2025,6
3324,154,2025,13
3324,152,2025,7
3324,123,2025,13
3324,159,2025,1
3324,153,2025,1
3324,10,2025,9
3324,132,2025,6
3326,01,2025,297
3326,02,2025,302
3326,03,2025,223
3326,04,2025,95
3326,08,2025,57
3326,55,2025,38
3326,05,2025,208
3326,06,2025,78
3326,07,2025,50
3326,122,2025,6
3326,158,2025,3
3326,154,2025,10
3326,152,2025,4
3326,123,2025,9
3326,159,2025,2
3326,153,2025,4
3326,10,2025,3
3326,132,2025,5
3328,01,2025,856
3328,02,2025,609
3328,03,2025,339
3328,04,2025,172
3328,08,2025,102
3328,55,2025,59
3328,05,2025,525
3328,06,2025,130
3328,07,2025,67
3328,122,2025,16
3328,158,2025,9
3328,154,2025,17
3328,152,2025,8
3328,123,2025,19
3328,159,2025,2
3328,153,2025,1
3328,10,2025,10
3328,132,2025,4
3330,01,2025,589
3330,02,2025,701
3330,03,2025,420
3330,04,2025,76
3330,08,2025,74
3330,55,2025,60
3330,05,2025,370
3330,06,2025,101
3330,07,2025,71
3330,122,2025,17
3330,158,2025,11
3330,154,2025,20
3330,152,2025,6
3330,123,2025,17
3330,159,2025,4
3330,153,2025,3
3330,10,2025,11
3330,132,2025,4
3332,01,2025,503
3332,02,2025,646
3332,03,2025,217
3332,04,2025,32
3332,08,2025,20
3332,55,2025,57
3332,05,2025,501
3332,06,2025,45
3332,07,2025,18
3332,122,2025,34
3332,158,2025,3
3332,154,2025,29
3332,152,2025,17
3332,123,2025,2
3332,159,2025,10
3332,153,2025,1
3332,10,2025,10
3332,132,2025,4
3334,01,2025,370
3334,02,2025,574
3334,03,2025,150
3334,04,2025,37
3334,08,2025,21
3334,55,2025,59
3334,05,2025,217
3334,06,2025,45
3334,07,2025,30
3334,122,2025,22
3334,158,2025,7
3334,154,2025,15
3334,152,2025,5
3334,123,2025,9
3334,159,2025,3
3334,10,2025,14
3334,132,2025,2
3336,01,2025,275
3336,02,2025,184
3336,03,2025,64
3336,04,2025,36
3336,08,2025,13
3336,55,2025,43
3336,05,2025,185
3336,06,2025,18
3336,07,2025,10
3336,122,2025,7
3336,158,2025,1
3336,154,2025,12
3336,152,2025,5
3336,123,2025,1
3336,159,2025,7
3336,10,2025,3
3338,01,2025,345
3338,02,2025,384
3338,03,2025,117
3338,04,2025,46
3338,08,2025,33
3338,55,2025,47
3338,05,2025,334
3338,06,2025,40
3338,07,2025,8
3338,122,2025,30
3338,158,2025,3
3338,154,2025,4
3338,152,2025,13
3338,123,2025,5
3338,159,2025,6
3338,153,2025,1
3338,10,2025,4
3338,132,2025,3
3401,01,2021,3632
3401,01,2025,3736
3401,02,2021,1151
3401,02,2025,2855
3401,03,2021,1272
3401,03,2025,1040
3401,04,2021,131
3401,04,2025,183
3401,08,2021,138
3401,08,2025,221
3401,55,2021,328
3401,55,2025,516
3401,05,2021,2111
3401,05,2025,820
3401,06,2021,614
3401,06,2025,402
3401,07,2021,236
3401,07,2025,185
3401,150,2021,5
3401,122,2021,117
3401,122,2025,115
3401,151,2021,7
3401,158,2025,16
3401,154,2025,59
3401,152,2021,13
3401,152,2025,38
3401,123,2021,19
3401,123,2025,31
3401,133,2021,21
3401,159,2025,21
3401,153,2021,15
3401,153,2025,9
