"code","parentCode","level","name","shortName","presentationName","validFrom","validTo","validFromInRequestedRange","validToInRequestedRange","notes"
"1127","03","2","Randaberg","","","","","","","867"
"1129","02","2","Forsand (-2019)","","","","","","","882"
"1130","03","2","Strand","","","","","","","787"
"1133","05","2","Hjelmeland","","","","","","","593"
"1134","06","2","Suldal","","","","","","","518"
"1135","05","2","Sauda","","","","","","","604"
"1141","02","2","Finnøy (-2019)","","","","","","","890"
"1142","02","2","Rennesøy (-2019)","","","","","","","890"
"1144","06","2","Kvitsøy","","","","","","","525"
"1145","05","2","Bokn","","","","","","","624"
"1146","04","2","Tysvær","","","","","","","724"
"1149","04","2","Karmøy","","","","","","","758"
"1151","06","2","Utsira","","","","","","","293"
"1154","05","2","Vindafjord (1965-2005)","","","","","","","643"
"1159","05","2","Ølen (2002-2005)","","","","","","","643"
"1160","05","2","Vindafjord (2006-)","","","","","","","643"
"1201","02","2","Bergen (-2019)","","","","","","","895"
"1211","05","2","Etne (-2019)","","","","","","","604"
"1214","05","2","Ølen (-2001)","","","","","","","643"
"1216","04","2","Sveio (-2019)","","","","","","","673"
"1219","05","2","Bømlo (-2019)","","","","","","","644"
"1221","04","2","Stord (-2019)","","","","","","","746"
"1222","05","2","Fitjar (-2019)","","","","","","","603"
"1223","05","2","Tysnes (-2019)","","","","","","","578"
"1224","05","2","Kvinnherad (-2019)","","","","","","","587"
"1227","05","2","Jondal (-2019)","","","","","","","583"
"1228","05","2","Odda (-2019)","","","","","","","583"
"1231","05","2","Ullensvang (1977-2019)","","","","","","","583"
"1232","06","2","Eidfjord (-2019)","","","","","","","531"
"1233","06","2","Ulvik (-2019)","","","","","","","529"
"1234","04","2","Granvin (-2019)","","","","","","","720"
"1235","04","2","Voss (-2019)","","","","","","","720"
"1238","04","2","Kvam (-2019)","","","","","","","674"
"1241","04","2","Fusa (-2019)","","","","","","","766"
"1242","04","2","Samnanger (-2019)","","","","","","","683"
"1243","04","2","Os (Hordaland) (-2019)","","","","","","","766"
"1244","05","2","Austevoll (-2019)","","","","","","","598"
"1245","04","2","Sund (-2019)","","","","","","","769"
"1246","04","2","Fjell (-2019)","","","","","","","769"
"1247","03","2","Askøy (-2019)","","","","","","","810"
"1251","05","2","Vaksdal (-2019)","","","","","","","644"
"1252","06","2","Modalen (-2019)","","","","","","","530"
"1253","04","2","Osterøy (-2019)","","","","","","","717"
"1256","04","2","Meland (-2019)","","","","","","","731"
"1259","04","2","Øygarden (-2019)","","","","","","","769"
