kom2024,parti,aar,stemmer
3413,10,2019,185
3413,10,2023,341
3413,91,2019,1048
3413,91,2023,1853
3413,92,2019,140
3413,92,2023,207
3414,01,2019,1052
3414,01,2023,1071
3414,02,2019,173
3414,02,2023,268
3414,03,2019,197
3414,03,2023,269
3414,55,2023,101
3414,05,2019,860
3414,05,2023,382
3414,06,2019,248
3414,06,2023,253
3414,07,2023,41
3415,01,2019,1370
3415,01,2023,852
3415,02,2019,248
3415,02,2023,296
3415,03,2019,512
3415,03,2023,635
3415,08,2019,81
3415,08,2023,33
3415,55,2019,128
3415,55,2023,215
3415,05,2019,738
3415,05,2023,250
3415,06,2019,209
3415,06,2023,253
3415,07,2019,63
3415,07,2023,214
3415,10,2019,104
3415,10,2023,247
3415,91,2019,417
3415,91,2023,402
3415,92,2019,22
3415,92,2023,388
3416,01,2019,1061
3416,01,2023,1288
3416,02,2019,202
3416,02,2023,298
3416,03,2019,434
3416,03,2023,452
3416,08,2019,52
3416,08,2023,51
3416,05,2019,1138
3416,05,2023,518
3416,06,2019,107
3416,07,2019,115
3416,07,2023,52
3416,10,2019,73
3416,10,2023,118
3417,01,2019,931
3417,01,2023,1116
3417,02,2019,126
3417,02,2023,224
3417,03,2019,419
3417,03,2023,333
3417,05,2019,740
3417,05,2023,317
3417,10,2023,92
3417,91,2019,183
3418,01,2019,1240
3418,01,2023,890
3418,02,2019,352
3418,02,2023,733
3418,03,2019,152
3418,03,2023,262
3418,55,2023,128
3418,05,2019,1464
3418,05,2023,577
3418,07,2019,261
3418,07,2023,74
3418,10,2019,172
3418,91,2023,705
3418,92,2023,75
3419,01,2019,396
3419,01,2023,430
3419,02,2019,75
3419,02,2023,109
3419,03,2019,148
3419,03,2023,247
3419,05,2019,518
3419,05,2023,252
3419,06,2019,87
3419,07,2019,68
3419,10,2019,131
3419,10,2023,215
3419,91,2019,603
3419,91,2023,338
3419,92,2023,120
3420,01,2019,3539
3420,01,2023,3056
3420,02,2019,773
3420,02,2023,912
3420,03,2019,1202
3420,03,2023,1986
3420,04,2019,195
3420,04,2023,77
3420,08,2019,430
3420,08,2023,293
3420,05,2019,2355
3420,05,2023,1150
3420,06,2019,1006
3420,06,2023,676
3420,07,2019,137
3420,07,2023,221
3420,10,2019,269
3420,10,2023,695
3420,92,2023,516
3421,01,2019,1264
3421,01,2023,1188
3421,02,2019,179
3421,02,2023,251
3421,03,2019,472
3421,03,2023,543
3421,04,2019,67
3421,08,2019,61
3421,55,2023,118
3421,05,2019,1469
3421,05,2023,1072
3421,06,2019,213
3421,06,2023,263
3421,07,2019,30
3422,01,2019,662
3422,01,2023,348
3422,02,2019,152
3422,02,2023,188
3422,03,2019,199
3422,03,2023,754
3422,05,2019,848
3422,05,2023,444
3422,06,2019,216
3422,06,2023,158
3422,07,2019,37
3423,01,2019,494
3423,01,2023,431
3423,02,2019,81
3423,02,2023,97
3423,03,2019,135
3423,03,2023,177
3423,55,2023,52
3423,05,2019,401
3423,05,2023,125
3423,06,2019,130
3423,06,2023,141
3423,07,2019,83
3423,07,2023,183
3424,01,2019,604
3424,01,2023,495
3424,03,2019,58
3424,03,2023,134
3424,05,2019,394
3424,05,2023,388
3424,06,2019,61
3424,06,2023,77
3425,01,2019,355
3425,01,2023,248
3425,03,2019,81
3425,03,2023,187
3425,05,2023,307
3425,90,2019,371
3426,01,2019,180
3426,01,2023,109
3426,08,2023,27
3426,05,2019,378
3426,05,2023,310
3426,06,2019,287
3426,06,2023,367
3426,07,2019,63
3426,07,2023,65
3427,01,2019,582
3427,01,2023,725
3427,02,2019,67
3427,02,2023,104
3427,03,2019,232
3427,03,2023,381
3427,04,2019,57
3427,08,2019,154
3427,08,2023,191
3427,55,2023,50
3427,05,2019,1511
3427,05,2023,1102
3427,06,2019,185
3427,06,2023,167
3427,07,2019,101
3427,07,2023,81
3427,10,2019,130
3427,10,2023,127
3428,01,2019,348
3428,01,2023,264
3428,03,2019,326
3428,03,2023,303
3428,04,2019,52
3428,04,2023,46
3428,08,2019,68
3428,05,2019,531
