kode,husholdtype,variabel,aar,verdi
3031,0000,AntallHushold,2021,10364
3031,0000,AntallHushold,2022,10562
3031,0000,AntallHushold,2023,10862
3032,0000,InntSkatt,2020,659000
3032,0000,InntSkatt,2021,681000
3032,0000,InntSkatt,2022,689000
3032,0000,InntSkatt,2023,736000
3032,0000,AntallHushold,2020,2982
3032,0000,AntallHushold,2021,2982
3032,0000,AntallHushold,2022,3192
3032,0000,AntallHushold,2023,3251
3033,0000,InntSkatt,2020,553000
3033,0000,InntSkatt,2021,575000
3033,0000,InntSkatt,2022,600000
3033,0000,InntSkatt,2023,640000
3033,0000,AntallHushold,2020,17923
3033,0000,AntallHushold,2021,18474
3033,0000,AntallHushold,2022,19171
3033,0000,AntallHushold,2023,19702
3034,0000,InntSkatt,2020,594000
3034,0000,InntSkatt,2021,607000
3034,0000,InntSkatt,2022,644000
3034,0000,InntSkatt,2023,687000
3034,0000,AntallHushold,2020,10274
3034,0000,AntallHushold,2021,10569
3034,0000,AntallHushold,2022,10798
3034,0000,AntallHushold,2023,10987
3035,0000,InntSkatt,2020,562000
3035,0000,InntSkatt,2021,582000
3035,0000,InntSkatt,2022,608000
3035,0000,InntSkatt,2023,659000
3035,0000,AntallHushold,2020,11557
3035,0000,AntallHushold,2021,11910
3035,0000,AntallHushold,2022,12246
3035,0000,AntallHushold,2023,12496
3036,0000,InntSkatt,2020,578000
3036,0000,InntSkatt,2021,606000
3036,0000,InntSkatt,2022,639000
3036,0000,InntSkatt,2023,684000
3036,0000,AntallHushold,2020,6353
3036,0000,AntallHushold,2021,6580
3036,0000,AntallHushold,2022,6813
3036,0000,AntallHushold,2023,7060
3037,0000,InntSkatt,2020,512000
3037,0000,InntSkatt,2021,530000
3037,0000,InntSkatt,2022,555000
3037,0000,InntSkatt,2023,590000
3037,0000,AntallHushold,2020,1329
3037,0000,AntallHushold,2021,1373
3037,0000,AntallHushold,2022,1411
3037,0000,AntallHushold,2023,1423
3038,0000,InntSkatt,2020,627000
3038,0000,InntSkatt,2021,649000
3038,0000,InntSkatt,2022,673000
3038,0000,InntSkatt,2023,724000
3038,0000,AntallHushold,2020,2972
3038,0000,AntallHushold,2021,3024
3038,0000,AntallHushold,2022,3032
3038,0000,AntallHushold,2023,3081
3039,0000,InntSkatt,2020,481000
3039,0000,InntSkatt,2021,487000
3039,0000,InntSkatt,2022,501000
3039,0000,InntSkatt,2023,535000
3039,0000,AntallHushold,2020,508
3039,0000,AntallHushold,2021,529
3039,0000,AntallHushold,2022,552
3039,0000,AntallHushold,2023,566
3040,0000,InntSkatt,2020,512000
3040,0000,InntSkatt,2021,537000
3040,0000,InntSkatt,2022,557000
3040,0000,InntSkatt,2023,597000
3040,0000,AntallHushold,2020,1576
3040,0000,AntallHushold,2021,1587
3040,0000,AntallHushold,2022,1606
3040,0000,AntallHushold,2023,1627
3041,0000,InntSkatt,2020,482000
3041,0000,InntSkatt,2021,501000
3041,0000,InntSkatt,2022,523000
3041,0000,InntSkatt,2023,564000
3041,0000,AntallHushold,2020,2294
3041,0000,AntallHushold,2021,2335
3041,0000,AntallHushold,2022,2397
3041,0000,AntallHushold,2023,2441
3042,0000,InntSkatt,2020,508000
3042,0000,InntSkatt,2021,531000
3042,0000,InntSkatt,2022,523000
3042,0000,InntSkatt,2023,574000
3042,0000,AntallHushold,2020,1213
3042,0000,AntallHushold,2021,1265
3042,0000,AntallHushold,2022,1313
3042,0000,AntallHushold,2023,1346
3043,0000,InntSkatt,2020,523000
3043,0000,InntSkatt,2021,546000
3043,0000,InntSkatt,2022,562000
3043,0000,InntSkatt,2023,626000
3043,0000,AntallHushold,2020,2178
3043,0000,AntallHushold,2021,2181
3043,0000,AntallHushold,2022,2294
3043,0000,AntallHushold,2023,2255
3044,0000,InntSkatt,2020,518000
3044,0000,InntSkatt,2021,539000
3044,0000,InntSkatt,2022,559000
3044,0000,InntSkatt,2023,595000
3044,0000,AntallHushold,2020,2207
3044,0000,AntallHushold,2021,2259
3044,0000,AntallHushold,2022,2265
3044,0000,AntallHushold,2023,2286
3045,0000,InntSkatt,2020,521000
3045,0000,InntSkatt,2021,532000
3045,0000,InntSkatt,2022,565000
3045,0000,InntSkatt,2023,597000
3045,0000,AntallHushold,2020,1661
3045,0000,AntallHushold,2021,1696
3045,0000,AntallHushold,2022,1707
3045,0000,AntallHushold,2023,1740
3046,0000,InntSkatt,2020,496000
3046,0000,InntSkatt,2021,509000
3046,0000,InntSkatt,2022,528000
3046,0000,InntSkatt,2023,559000
3046,0000,AntallHushold,2020,1078
3046,0000,AntallHushold,2021,1085
3046,0000,AntallHushold,2022,1090
3046,0000,AntallHushold,2023,1106
3047,0000,InntSkatt,2020,518000
3047,0000,InntSkatt,2021,535000
3047,0000,InntSkatt,2022,550000
3047,0000,InntSkatt,2023,599000
3047,0000,AntallHushold,2020,6714
3047,0000,AntallHushold,2021,6828
3047,0000,AntallHushold,2022,6979
3047,0000,AntallHushold,2023,7014
3048,0000,InntSkatt,2020,550000
3048,0000,InntSkatt,2021,576000
3048,0000,InntSkatt,2022,599000
3048,0000,InntSkatt,2023,644000
3048,0000,AntallHushold,2020,8911
3048,0000,AntallHushold,2021,9114
3048,0000,AntallHushold,2022,9398
3048,0000,AntallHushold,2023,9525
3049,0000,InntSkatt,2020,626000
3049,0000,InntSkatt,2021,643000
3049,0000,InntSkatt,2022,668000
3049,0000,InntSkatt,2023,720000
3049,0000,AntallHushold,2020,11691
3049,0000,AntallHushold,2021,12003
3049,0000,AntallHushold,2022,12339
3049,0000,AntallHushold,2023,12456
3050,0000,InntSkatt,2020,563000
3050,0000,InntSkatt,2021,592000
3050,0000,InntSkatt,2022,632000
3050,0000,InntSkatt,2023,660000
3050,0000,AntallHushold,2020,1204
3050,0000,AntallHushold,2021,1229
3050,0000,AntallHushold,2022,1239
3050,0000,AntallHushold,2023,1265
3051,0000,InntSkatt,2020,511000
3051,0000,InntSkatt,2021,516000
3051,0000,InntSkatt,2022,529000
3051,0000,InntSkatt,2023,564000
3051,0000,AntallHushold,2020,644
3051,0000,AntallHushold,2021,657
3051,0000,AntallHushold,2022,666
3051,0000,AntallHushold,2023,680
3052,0000,InntSkatt,2020,509000
3052,0000,InntSkatt,2021,517000
3052,0000,InntSkatt,2022,519000
3052,0000,InntSkatt,2023,566000
3052,0000,AntallHushold,2020,1120
3052,0000,AntallHushold,2021,1150
3052,0000,AntallHushold,2022,1185
3052,0000,AntallHushold,2023,1190
3053,0000,InntSkatt,2020,538000
3053,0000,InntSkatt,2021,566000
3053,0000,InntSkatt,2022,589000
3053,0000,InntSkatt,2023,626000
3053,0000,AntallHushold,2020,3191
3053,0000,AntallHushold,2021,3226
3053,0000,AntallHushold,2022,3290
