Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Antall stemmeberettigede;Godkjente stemmegivninger — Forhånd;Godkjente stemmegivninger - Valgting;Godkjente stemmegivninger - Totalt;Forkastede stemmegivninger - Forhånd;Forkastede stemmegivninger - Totalt;Godkjente stemmesedler - Forhånd;Godkjente stemmesedler - Valgting;Godkjente stemmesedler - Totalt;Forkastede stemmesedler - Forhånd;Forkastede stemmesedler - Totalt;Blanke stemmesedler - Forhånd;Blanke stemmesedler - Totalt;
01;Østfold;0136;Rygge;0003;Larkollen;1251;282;800;1082;1;1;0;805;805;0;0;0;6;
01;Østfold;0136;Rygge;0004;Vang;1432;345;877;1222;0;0;0;864;864;0;0;0;10;
01;Østfold;0136;Rygge;0005;Ekholt;2903;658;1589;2247;4;4;0;1611;1611;0;0;0;10;
01;Østfold;0136;Rygge;0006;Øreåsen;2997;501;1706;2207;0;0;0;1721;1721;0;1;0;29;
01;Østfold;0137;Våler;0000;Hele kommunen;3725;492;2451;2943;0;0;494;2452;2946;1;1;4;31;
01;Østfold;0138;Hobøl;0000;Uoppgitt krets;23;7;1;8;0;0;688;0;688;1;1;4;4;
01;Østfold;0138;Hobøl;0001;Tomter;1563;315;937;1252;0;2;0;936;936;0;1;0;8;
01;Østfold;0138;Hobøl;0002;Knapstad;1337;210;844;1054;2;2;0;852;852;0;1;0;6;
01;Østfold;0138;Hobøl;0003;Ringvoll;923;156;565;721;0;0;0;555;555;0;0;0;6;
02;Akershus;0211;Vestby;0000;Uoppgitt krets;24;6;2;8;3;3;2638;19;2657;4;4;16;17;
02;Akershus;0211;Vestby;0001;Bjørlien;2286;463;1344;1807;1;2;0;1273;1273;0;0;0;6;
02;Akershus;0211;Vestby;0002;Vestby;3860;932;2019;2951;1;3;0;2159;2159;0;10;0;23;
02;Akershus;0211;Vestby;0005;Son/Solhøy;3645;860;2125;2985;0;0;0;2118;2118;0;4;0;21;
02;Akershus;0211;Vestby;0006;Brevik;2117;378;1399;1777;0;0;0;1347;1347;0;0;0;8;
02;Akershus;0213;Ski;0000;Uoppgitt krets;61;31;6;37;2;3;4815;5;4820;10;10;20;20;
02;Akershus;0213;Ski;0001;Hebekk;2690;760;1394;2154;0;0;0;1639;1639;0;0;0;11;
02;Akershus;0213;Ski;0002;Kontra;3972;1133;1947;3080;0;0;0;1809;1809;0;0;0;8;
02;Akershus;0213;Ski;0004;Siggerud;1820;316;1164;1480;0;0;0;1175;1175;0;0;0;5;
02;Akershus;0213;Ski;0005;Langhus;3889;876;2362;3238;1;1;0;2319;2319;0;3;0;8;
02;Akershus;0213;Ski;0006;Kråkstad;1617;283;1050;1333;1;1;0;1046;1046;0;0;0;4;
02;Akershus;0213;Ski;0010;Finstad;3122;804;1846;2650;0;0;0;1796;1796;0;7;0;12;
02;Akershus;0213;Ski;0011;Vevelstad;1703;329;975;1304;1;1;0;996;996;0;0;0;7;
02;Akershus;0213;Ski;0012;Bøleråsen;2226;288;1502;1790;0;0;0;1493;1493;0;2;0;15;
02;Akershus;0214;Ås;0000;Uoppgitt krets;36;14;8;22;0;0;3336;8;3344;7;7;22;22;
02;Akershus;0214;Ås;0001;Brønnerud;1238;424;627;1051;1;1;0;555;555;0;1;0;3;
02;Akershus;0214;Ås;0002;Åsgård;2749;971;1339;2310;1;1;0;1650;1650;0;4;0;21;
02;Akershus;0214;Ås;0003;Rustad og Holstad;3206;909;1775;2684;0;1;0;1551;1551;0;0;0;11;
02;Akershus;0214;Ås;0005;Kroer;773;150;472;622;0;0;0;458;458;0;0;0;3;
02;Akershus;0214;Ås;0006;Nordby;3274;607;1928;2535;0;1;0;1916;1916;0;0;0;9;
02;Akershus;0214;Ås;0007;Solberg;1720;260;1111;1371;0;0;0;1125;1125;0;1;0;9;
02;Akershus;0215;Frogn;0000;Uoppgitt krets;39;17;3;20;0;0;3583;3;3586;7;7;15;15;
02;Akershus;0215;Frogn;0001;Drøbak;2963;1043;1416;2459;2;2;0;1460;1460;0;1;0;1;
02;Akershus;0215;Frogn;0002;Sogsti;2347;704;1318;2022;0;0;0;1291;1291;0;0;0;6;
02;Akershus;0215;Frogn;0003;Heer;2281;597;1299;1896;0;0;0;1295;1295;0;2;0;6;
02;Akershus;0215;Frogn;0006;Dyrløkkeåsen;2970;1017;1440;2457;0;1;0;1427;1427;0;1;0;12;
02;Akershus;0215;Frogn;0007;Nordre Frogn;934;202;546;748;0;0;0;548;548;0;0;0;3;
02;Akershus;0216;Nesodden;0000;Uoppgitt krets;60;35;0;35;0;0;4857;187;5044;6;6;16;20;
02;Akershus;0216;Nesodden;0001;Berger;2926;1263;1281;2544;0;1;0;1186;1186;0;0;0;5;
02;Akershus;0216;Nesodden;0002;Tangen;4220;1888;1761;3649;0;0;0;1747;1747;0;3;0;5;
02;Akershus;0216;Nesodden;0003;Fjellstrand;1205;294;714;1008;0;0;0;693;693;0;0;0;6;
02;Akershus;0216;Nesodden;0004;Jaer;860;246;468;714;0;1;0;451;451;0;0;0;5;
02;Akershus;0216;Nesodden;0005;Myklerud;2008;381;1231;1612;0;0;0;1220;1220;0;0;0;16;
02;Akershus;0216;Nesodden;0006;Bjørnemyr;1869;738;804;1542;0;0;0;772;772;0;0;0;4;
02;Akershus;0217;Oppegård;0000;Uoppgitt krets;59;36;3;39;0;0;5419;0;5419;15;15;26;26;
