Tid,GodkjenteProsent,PolitParti,Region
2013 2013,2.5,08 Miljøpartiet de Grønne,0118 Aremark (-2019)
2017 2017,1.9,08 Miljøpartiet de Grønne,0118 Aremark (-2019)
2013 2013,,55 Rødt,0118 Aremark (-2019)
2017 2017,0.8,55 Rødt,0118 Aremark (-2019)
2013 2013,36.7,01 Arbeiderpartiet,0119 Marker (1964-2019)
2017 2017,31.4,01 Arbeiderpartiet,0119 Marker (1964-2019)
2013 2013,14.4,02 Fremskrittspartiet,0119 Marker (1964-2019)
2017 2017,11.5,02 Fremskrittspartiet,0119 Marker (1964-2019)
2013 2013,17.1,03 Høyre,0119 Marker (1964-2019)
2017 2017,15.6,03 Høyre,0119 Marker (1964-2019)
2013 2013,12.6,04 Kristelig Folkeparti,0119 Marker (1964-2019)
2017 2017,9.6,04 Kristelig Folkeparti,0119 Marker (1964-2019)
2013 2013,14.2,05 Senterpartiet,0119 Marker (1964-2019)
2017 2017,24.3,05 Senterpartiet,0119 Marker (1964-2019)
2013 2013,0.6,06 Sosialistisk Venstreparti,0119 Marker (1964-2019)
2017 2017,1.7,06 Sosialistisk Venstreparti,0119 Marker (1964-2019)
2013 2013,1.3,07 Venstre,0119 Marker (1964-2019)
2017 2017,2.0,07 Venstre,0119 Marker (1964-2019)
2013 2013,1.6,08 Miljøpartiet de Grønne,0119 Marker (1964-2019)
2017 2017,1.0,08 Miljøpartiet de Grønne,0119 Marker (1964-2019)
2013 2013,0.4,55 Rødt,0119 Marker (1964-2019)
2017 2017,0.8,55 Rødt,0119 Marker (1964-2019)
2013 2013,35.2,01 Arbeiderpartiet,0121 Rømskog (-2019)
2017 2017,28.2,01 Arbeiderpartiet,0121 Rømskog (-2019)
2013 2013,11.9,02 Fremskrittspartiet,0121 Rømskog (-2019)
2017 2017,10.8,02 Fremskrittspartiet,0121 Rømskog (-2019)
2013 2013,10.3,03 Høyre,0121 Rømskog (-2019)
2017 2017,9.3,03 Høyre,0121 Rømskog (-2019)
2013 2013,23.1,04 Kristelig Folkeparti,0121 Rømskog (-2019)
2017 2017,21.0,04 Kristelig Folkeparti,0121 Rømskog (-2019)
2013 2013,14.9,05 Senterpartiet,0121 Rømskog (-2019)
2017 2017,26.6,05 Senterpartiet,0121 Rømskog (-2019)
2013 2013,0.9,06 Sosialistisk Venstreparti,0121 Rømskog (-2019)
2017 2017,1.0,06 Sosialistisk Venstreparti,0121 Rømskog (-2019)
2013 2013,0.9,07 Venstre,0121 Rømskog (-2019)
2017 2017,0.2,07 Venstre,0121 Rømskog (-2019)
2013 2013,0.7,08 Miljøpartiet de Grønne,0121 Rømskog (-2019)
2017 2017,1.7,08 Miljøpartiet de Grønne,0121 Rømskog (-2019)
2013 2013,,55 Rødt,0121 Rømskog (-2019)
2017 2017,0.2,55 Rødt,0121 Rømskog (-2019)
2013 2013,24.4,01 Arbeiderpartiet,0122 Trøgstad (-2019)
2017 2017,18.7,01 Arbeiderpartiet,0122 Trøgstad (-2019)
2013 2013,21.8,02 Fremskrittspartiet,0122 Trøgstad (-2019)
2017 2017,18.9,02 Fremskrittspartiet,0122 Trøgstad (-2019)
2013 2013,24.2,03 Høyre,0122 Trøgstad (-2019)
2017 2017,23.2,03 Høyre,0122 Trøgstad (-2019)
2013 2013,5.4,04 Kristelig Folkeparti,0122 Trøgstad (-2019)
2017 2017,3.6,04 Kristelig Folkeparti,0122 Trøgstad (-2019)
2013 2013,17.2,05 Senterpartiet,0122 Trøgstad (-2019)
2017 2017,27.8,05 Senterpartiet,0122 Trøgstad (-2019)
2013 2013,1.4,06 Sosialistisk Venstreparti,0122 Trøgstad (-2019)
2017 2017,2.3,06 Sosialistisk Venstreparti,0122 Trøgstad (-2019)
2013 2013,2.9,07 Venstre,0122 Trøgstad (-2019)
2017 2017,1.5,07 Venstre,0122 Trøgstad (-2019)
2013 2013,0.9,08 Miljøpartiet de Grønne,0122 Trøgstad (-2019)
2017 2017,1.2,08 Miljøpartiet de Grønne,0122 Trøgstad (-2019)
2013 2013,0.5,55 Rødt,0122 Trøgstad (-2019)
2017 2017,1.5,55 Rødt,0122 Trøgstad (-2019)
2013 2013,26.8,01 Arbeiderpartiet,0123 Spydeberg (-2019)
2017 2017,22.3,01 Arbeiderpartiet,0123 Spydeberg (-2019)
2013 2013,19.9,02 Fremskrittspartiet,0123 Spydeberg (-2019)
2017 2017,18.2,02 Fremskrittspartiet,0123 Spydeberg (-2019)
2013 2013,26.9,03 Høyre,0123 Spydeberg (-2019)
2017 2017,25.6,03 Høyre,0123 Spydeberg (-2019)
2013 2013,8.0,04 Kristelig Folkeparti,0123 Spydeberg (-2019)
2017 2017,5.8,04 Kristelig Folkeparti,0123 Spydeberg (-2019)
2013 2013,8.5,05 Senterpartiet,0123 Spydeberg (-2019)
2017 2017,15.5,05 Senterpartiet,0123 Spydeberg (-2019)
2013 2013,2.8,06 Sosialistisk Venstreparti,0123 Spydeberg (-2019)
2017 2017,4.4,06 Sosialistisk Venstreparti,0123 Spydeberg (-2019)
2013 2013,3.9,07 Venstre,0123 Spydeberg (-2019)
2017 2017,2.4,07 Venstre,0123 Spydeberg (-2019)
2013 2013,1.7,08 Miljøpartiet de Grønne,0123 Spydeberg (-2019)
2017 2017,2.2,08 Miljøpartiet de Grønne,0123 Spydeberg (-2019)
2013 2013,0.6,55 Rødt,0123 Spydeberg (-2019)
2017 2017,1.9,55 Rødt,0123 Spydeberg (-2019)
2013 2013,32.9,01 Arbeiderpartiet,0124 Askim (-2019)
2017 2017,30.0,01 Arbeiderpartiet,0124 Askim (-2019)
2013 2013,21.6,02 Fremskrittspartiet,0124 Askim (-2019)
2017 2017,18.6,02 Fremskrittspartiet,0124 Askim (-2019)
2013 2013,27.5,03 Høyre,0124 Askim (-2019)
2017 2017,28.3,03 Høyre,0124 Askim (-2019)
2013 2013,4.9,04 Kristelig Folkeparti,0124 Askim (-2019)
2017 2017,3.8,04 Kristelig Folkeparti,0124 Askim (-2019)
2013 2013,3.1,05 Senterpartiet,0124 Askim (-2019)
2017 2017,7.1,05 Senterpartiet,0124 Askim (-2019)
2013 2013,2.5,06 Sosialistisk Venstreparti,0124 Askim (-2019)
2017 2017,4.2,06 Sosialistisk Venstreparti,0124 Askim (-2019)
2013 2013,3.6,07 Venstre,0124 Askim (-2019)
2017 2017,2.1,07 Venstre,0124 Askim (-2019)
2013 2013,1.7,08 Miljøpartiet de Grønne,0124 Askim (-2019)
2017 2017,2.1,08 Miljøpartiet de Grønne,0124 Askim (-2019)
2013 2013,0.7,55 Rødt,0124 Askim (-2019)
2017 2017,1.5,55 Rødt,0124 Askim (-2019)
2013 2013,28.8,01 Arbeiderpartiet,0125 Eidsberg (-2019)
2017 2017,24.7,01 Arbeiderpartiet,0125 Eidsberg (-2019)
2013 2013,20.2,02 Fremskrittspartiet,0125 Eidsberg (-2019)
2017 2017,17.9,02 Fremskrittspartiet,0125 Eidsberg (-2019)
2013 2013,26.1,03 Høyre,0125 Eidsberg (-2019)
2017 2017,24.7,03 Høyre,0125 Eidsberg (-2019)
2013 2013,6.5,04 Kristelig Folkeparti,0125 Eidsberg (-2019)
2017 2017,4.3,04 Kristelig Folkeparti,0125 Eidsberg (-2019)
2013 2013,9.3,05 Senterpartiet,0125 Eidsberg (-2019)
2017 2017,17.9,05 Senterpartiet,0125 Eidsberg (-2019)
2013 2013,1.8,06 Sosialistisk Venstreparti,0125 Eidsberg (-2019)
2017 2017,3.2,06 Sosialistisk Venstreparti,0125 Eidsberg (-2019)
2013 2013,3.9,07 Venstre,0125 Eidsberg (-2019)
2017 2017,2.3,07 Venstre,0125 Eidsberg (-2019)
2013 2013,1.3,08 Miljøpartiet de Grønne,0125 Eidsberg (-2019)
2017 2017,1.8,08 Miljøpartiet de Grønne,0125 Eidsberg (-2019)
2013 2013,0.5,55 Rødt,0125 Eidsberg (-2019)
2017 2017,1.2,55 Rødt,0125 Eidsberg (-2019)
2013 2013,29.9,01 Arbeiderpartiet,0127 Skiptvet (-2019)
2017 2017,24.1,01 Arbeiderpartiet,0127 Skiptvet (-2019)
2013 2013,21.8,02 Fremskrittspartiet,0127 Skiptvet (-2019)
2017 2017,18.7,02 Fremskrittspartiet,0127 Skiptvet (-2019)
2013 2013,20.8,03 Høyre,0127 Skiptvet (-2019)
2017 2017,20.9,03 Høyre,0127 Skiptvet (-2019)
2013 2013,8.4,04 Kristelig Folkeparti,0127 Skiptvet (-2019)
2017 2017,5.9,04 Kristelig Folkeparti,0127 Skiptvet (-2019)
2013 2013,13.0,05 Senterpartiet,0127 Skiptvet (-2019)
2017 2017,21.4,05 Senterpartiet,0127 Skiptvet (-2019)
2013 2013,1.8,06 Sosialistisk Venstreparti,0127 Skiptvet (-2019)
2017 2017,2.6,06 Sosialistisk Venstreparti,0127 Skiptvet (-2019)
2013 2013,1.7,07 Venstre,0127 Skiptvet (-2019)
2017 2017,1.9,07 Venstre,0127 Skiptvet (-2019)
2013 2013,0.8,08 Miljøpartiet de Grønne,0127 Skiptvet (-2019)
2017 2017,1.0,08 Miljøpartiet de Grønne,0127 Skiptvet (-2019)
2013 2013,0.6,55 Rødt,0127 Skiptvet (-2019)
2017 2017,1.4,55 Rødt,0127 Skiptvet (-2019)
2013 2013,28.9,01 Arbeiderpartiet,0128 Rakkestad (-2019)
2017 2017,22.5,01 Arbeiderpartiet,0128 Rakkestad (-2019)
2013 2013,16.7,02 Fremskrittspartiet,0128 Rakkestad (-2019)
2017 2017,18.1,02 Fremskrittspartiet,0128 Rakkestad (-2019)
2013 2013,19.4,03 Høyre,0128 Rakkestad (-2019)
2017 2017,18.7,03 Høyre,0128 Rakkestad (-2019)
2013 2013,10.2,04 Kristelig Folkeparti,0128 Rakkestad (-2019)
2017 2017,8.3,04 Kristelig Folkeparti,0128 Rakkestad (-2019)
2013 2013,16.2,05 Senterpartiet,0128 Rakkestad (-2019)
2017 2017,25.4,05 Senterpartiet,0128 Rakkestad (-2019)
2013 2013,1.1,06 Sosialistisk Venstreparti,0128 Rakkestad (-2019)
2017 2017,1.9,06 Sosialistisk Venstreparti,0128 Rakkestad (-2019)
2013 2013,3.7,07 Venstre,0128 Rakkestad (-2019)
2017 2017,1.2,07 Venstre,0128 Rakkestad (-2019)
2013 2013,1.2,08 Miljøpartiet de Grønne,0128 Rakkestad (-2019)
2017 2017,1.5,08 Miljøpartiet de Grønne,0128 Rakkestad (-2019)
2013 2013,0.5,55 Rødt,0128 Rakkestad (-2019)
2017 2017,0.8,55 Rødt,0128 Rakkestad (-2019)
2013 2013,26.3,01 Arbeiderpartiet,0135 Råde (-2019)
2017 2017,23.1,01 Arbeiderpartiet,0135 Råde (-2019)
2013 2013,22.2,02 Fremskrittspartiet,0135 Råde (-2019)
2017 2017,20.4,02 Fremskrittspartiet,0135 Råde (-2019)
2013 2013,27.6,03 Høyre,0135 Råde (-2019)
2017 2017,26.8,03 Høyre,0135 Råde (-2019)
2013 2013,8.9,04 Kristelig Folkeparti,0135 Råde (-2019)
2017 2017,6.9,04 Kristelig Folkeparti,0135 Råde (-2019)
